Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	AegTri	BriMax	BroDia	AveBar	MadSat	MicCal	DaucPusil	ClaPur	TriRefLarge	Torilis	Sidalcea	TriPlate	Bare	Gopher	CarPac	HypGla	TriCupcake	EupSpa	BroSter	AirCar	GalPar										
HREC	5/17/2017	1	1	1	1	1	2	3	4	2		5	2	2	2																							
				2	2	1	2		5	2	2	4		2	1		1						1															
				3	3	1	3		3	2	2	3				2		2	1	3	3		1															
				4	4	1	3		5	2	2	3			2			2	2			1	2															
				5	5	1	2		4	2	2	3		1	2	1								1														
				6	6	1	2	1	4	3	2	4							1						2													
				7	7	1	2	2	4		2	2			2	2	2					2			2													
				8	8	1	2	1	4	2	2	3				2	2					2			2													
				9	1	2	3	3	3		2	4	2	2	2	1							2															
				10	2	2	3	2	3	1	2	5		2		2							2															
				11	3	2	3		4	2	2	4			1	1		1	1						1													
				12	4	2	3		4	3	2	4		1	1		2								1													
				13	5	2	3		3	2	2	3		2	3	1		2	2	4	4				1													
				14	6	2	2		4	2	2	2		2		2		2	1				2		1	3												
				15	7	2	3		4	2	2				2	3	2	1	3			2			2		2											
				16	8	2	3		4		1				2	3			2			2			2	2		1										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	Torilis	MicCal	HypGla	ClaPur	DaucPusil	Sidalcea	GalPar	TriPlate	TriRefLarge	TriCupcake	Bare/Gopher	EupSpa	BriMin	ElyGla	CarPac									
HREC	5/17/2017	1	1	1	1	3	1	3	4	2				2	2		2	2	0	2		3	1															
				2	2	3	2	4	3	2				5				1	2	1			1			1												
				3	3	3	2		2	3	2			4				2	2			1	2															
				4	4	3	2		3	3	2			4	1				2	2		1	1		3													
				5	5	3	2		3	3	2			3				1	2						4													
				6	6	3	2		4	3	3			2			1		2	1		2	2		2	2	1	2										
				7	7	3	2		4	2	1	1		2			2	2	1			3	2			2		2										
				8	8	3	2		4	3		3		1			2	3	1	2	1	3				2			1									
				9	1	4	2	4	3	3	2			2	2		1	1	0		1	2			2	2												
				10	2	4		2	4	2	2			5	1		3		1										2									
				11	3	4		2	3	3	2			5					2				2		2													
				12	4	4	1		4	2	3			4					3			1	1															
				13	5	4	2		4	3	3			3	1				2	2	1		2		3													
				14	6	4	2		3	3	2			2	1			2	1			1	2					2										
				15	7	4			4	3		3		1	1		2	1	1	1	1		2						3									
				16	8	4	1		4	3		2		1			2	3	2	1	2	1	2															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	HypGla	ClaPur	DaucPusil	MicCal	Sidalcea	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	Bare/Gopher	Gopher	CarPac	EupSpa	LotusSmall	AirCar	AnaArv	TriRefSmall	Linanthus					
HREC	5/17/2017	1	1	1	1	5	2	3	3	1				4	3		2			1		3	2															
				2	2	5	2		3	3	2			3	2	2	4		2	1	1	3	1				1	1										
				3	3	5	2	2	4	2	2			4	2		3		1		1						1		1									
				4	4	5	2	3	4	2	2			2			2		2	1		2	2						1									
				5	5	5	2		4	2						1	2		1	1	1				3	3			2									
				6	6	5	2		4	3		1		1	1		1			1			2				1		2									
				7	7	5	1		4	2	1	2		2		2	1				1	1	1				2											
				8	8	5	2		4	2				3	1	3	2			1		2	1		3	3												
				9	1	6	1		4	2	2			4	2		3				1	2							1									
				10	2	6	2		4	3	2			3	2	1	4		1	1		1					1		1	1								
				11	3	6	2	2	4	3	2			3			1		1			3	2				2		2		1							
				12	4	6	2	1	4	2	3								1		2	2	1						2									
				13	5	6	2		3	3	1			1					2	1	1	2	2						2									
				14	6	6	2		4	2	1			2		1	1		1	1	1		2						2									
				15	7	6	2		4	2				1		3	2			1		1	1						2			2						
				16	8	6		3	4	2	1			2		3	2		2		1	3	2				1						1					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	DaucPusil	Sidalcea	HypGla	ClaPur	CarPac	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	TriRefSmall	Bare	Gopher	EupSpa	Scandix	LotusSmall	Rock	MicCal						
HREC	5/17/2017	1	1	1	1	7	1		4	2	3			3	3		1	2		1						2	2	1	2									
				2	2	7			4	3	2			2	4			2				2	2					1		2								
				3	3	7	1		4	3	2			2	2			2		2		3				3	3	2										
				4	4	7	2		4	3	2			2	1	1		2				2	1					2		1								
				5	5	7	2		4	3	2			2	1	1		2			2		2							2								
				6	6	7	2		4	3	3			2	1	2	2		1	1	1							1		1								
				7	7	7		2	4	2				1	2	2	2	2				1	2							2								
				8	8	7		3	4	2				3	2	1	1	1			2	2								1								
				9	1	8	1		4	3	3			4		2		1		2		2																
				10	2	8	1		3	3	2			2	2	1		1		2	1	1				3					3							
				11	3	8			4	3	2			2	2		2	2	2		2							1		2								
				12	4	8	1		4	3	2			1	3	1	1					2	2							3								
				13	5	8		2	4	2	2			2	2	1	2		1			2						1		3								
				14	6	8	1		4	2	2				2	2	1	1	2	1			2															
				15	7	8	2		4	2				2	2		1		1		1		3							3		2						
				16	8	8	1	2	4	2				3	2	2	1					2	2							2								
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	DaucPusil	Sidalcea	HypGla	ClaPur	CarPac	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	TriRefSmall	Bare	Gopher	EupSpa	LotusSmall	TaeCap	Linanthus	MicCal	Lotus					
HREC	5/17/2017	1	2	1	1	1	2	2	3	2	2			3	2	2			3		2					4	4											
				2	2	1	1	3	3	2	2			4	2	2		1					1															
				3	3	1	1	3	4	1				3	1			3				1				2	2			2								
				4	4	1		4	3	1				3	1	2		1		2																		
				5	5	1		4	4	1				2	3	1		2	1	1																		
				6	6	1	1	4	4	1	1			3	2			1	1	1	1										2							
				7	7	1		3	4	1				3	3			2								2	2		2		1	2						
				8	8	1		2	5	2				2	3		3	2														2	2					
				9	1	2	2	3	3	3	3			2				2	2	1	1					3	3											
				10	2	2		3	3	2				3		2					2							1										
				11	3	2		4	3	2				3	2		1	1	1	1		1				3	3											
				12	4	2		4	4	2				3	2		2			1																		
				13	5	2		4	3	2				3	2		1	3																				
				14	6	2		3	4	2				2	3	2		4															2					
				15	7	2	2	2	4	2				2	3	2	3	3													2	2						
				16	8	2			4			2		2	3	1	2	3	2	2					1	3	3											
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	DaucPusil	Sidalcea	HypGla	ClaPur	CarPac	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	TriRefSmall	EupSpa	Bare	Gopher	Linanthus	MicCal	LotusSmall	Lotus	TriAlbo					
HREC	5/17/2017	1	2	1	1	3		4	3	3	1			3		2		3	1				1			2	3	3										
				2	2	3		3	4	2				2		2	1	1		1							3	3										
				3	3	3	1	3	3					3			1					1	2			2	3	3	2									
				4	4	3		5	2	2				3		1		1	1								2	2		1								
				5	5	3	1	4	3	2				2	3	2	2	2			1																	
				6	6	3	1	4	4	2				2	3			3												2	1							
				7	7	3	2	3	4	2				2	3			4				2			1		2	2	1									
				8	8	3		3	4	2			2	2	3		3	3											1	2		2						
				9	1	4	1	4	3	2				2	2	2							2			2	3	3										
				10	2	4		3	4	2				2	1	2	1	2				2							1				1					
				11	3	4		4	3	2				3	3		1		1																			
				12	4	4		4	3	2				2	2			2		1																		
				13	5	4		4	3	3				2	2					1					2													
				14	6	4		4	4	2				2	3		3												1	2								
				15	7	4		4	4	1					2			1											1	2								
				16	8	4		4	4					2	3						2		1						2									
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	DaucPusil	Sidalcea	HypGla	ClaPur	CarPac	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	TriRefSmall	EupSpa	Bare	Gopher	Linanthus	LotusSmall	Lotus	MicCal	TriHir					
HREC	5/17/2017	1	2	1	1	5	1	4	4	3				2		2		2	2	1						1												
				2	2	5	1	4	5	2				2	1											1												
				3	3	5	1	3	4	2				2	2		3	2		1			2							1	1							
				4	4	5	1	4	4	2					4	1	2	1					2															
				5	5	5		3	5					2	2	1	2	2					1															
				6	6	5		4	5					2	2	2	3	1		1																		
				7	7	5		3	5					2	3		2	2														2						
				8	8	5		4	5						3	2		2				1							1									
				9	1	6	1	5	4	1				3	1	2		2	2			1																
				10	2	6	1	4	4	1				2	2			2		1																		
				11	3	6	2	3	5	2	3			2				2		1						1												
				12	4	6	1	3	4	2	1	1		2	2	1	2	2											1	1			1					
				13	5	6	1	3	4	3	2			3	3	2	1				1																	
				14	6	6		3	4	1	2			2	2			2									3	3				2						
				15	7	6		3	5	2	2	1		2	2			2					1							1								
				16	8	6		3	4	1	2			1	2			3							2													
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	AirCar	MadSat	DaucPusil	Sidalcea	HypGla	ClaPur	CarPac	GalPar	Torilis	TriPlate	TriRefLarge	TriCupcake	TriRefSmall	EupSpa	Bare	Gopher	Linanthus	MicCal	LotusSmall	Lotus	TriAlbo	NasPul	PlaNot			
HREC	5/17/2017	1	2	1	1	7		3	5	2				2			3	1	2						1													
				2	2	7	1	3	5	2	2			1	2		2	2					1		2													
				3	3	7		2	6	2								2		1	1				1													
				4	4	7	2	2	3	3	3			2	3	2	2			1																		
				5	5	7	1	3	3	3	3			2	2		3						2				2	2			1							
				6	6	7		2	5	2	2			2	2		2	1									2	2										
				7	7	7		1	4	2	2			2	2	1		2		1							4	4			2			3				
				8	8	7		1	4	2	1			2	3	2	3	3									2	2	1									
				9	1	8	2	4	4	1				3	2	1	3	2		1		1	1			1			1		1							
				10	2	8	1	3	5	2	2		1	2	2								2															
				11	3	8	2	2	6	2	2				3			2							1						1							
				12	4	8	2	2	5	2	3	1			2	3	2																					
				13	5	8	2		3	4	3			2	2		3			1		1													1			
				14	6	8	2		4	3				3	3		3	1					2															
				15	7	8	1		4	3	1			3	3		2					2	2		1						2							
				16	8	8	1		2	3				3	3		3			1		1	2				4	4										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BriMin	BroDis	BroHor	ElyGla	Torilis	MadSat	GalPar	TriRefLarge	CerGlo	CenMil	HypGla	DicCap	DaucPusil	AmsMen	Athysanus (Shield)	CarPac	BroSter												
HREC	5/16/2017	2	1	1	1	1	2	3	4		3	3		3	2																							
				2	2	1	2	4	4		3	2		4	3																							
				3	3	1	1	4	4			2		3	2	1																						
				4	4	1	2	4	3		2			4	2	1																						
				5	5	1	2	3	2		4	2		3	3	1	1	1																				
				6	6	1	2	3	2		4	2		3	2																							
				7	7	1	3	2			4	2		4	0				3	3																		
				8	8	1	2		2		4	3		3	2	1				3																		
				9	1	2	3	2	4		3	4		3	2																							
				10	2	2	3	3	3		4	2		3	2	1				3																		
				11	3	2	2	4	3		3	2		3	2	1				2																		
				12	4	2	2	3	2		4	3		3	2	1					2	2																
				13	5	2	2	3	2		5	3		3	0	1			2	1			2															
				14	6	2	2	0	2		5	2		4	2	1				2				2														
				15	7	2	3	2	2		4	2		4	2					2		3			1													
				16	8	2	3		3		3	2	2	3	2					2						1												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BroHor	BroDia	BroSter	BriMax	Torilis	HypGla	MadSat	GalPar	CarPac	TriPlate	DaucPusil	ElyGla	TriHir																	
HREC	5/16/2017	2	1	1	1	3	2	4	3	4		4	2		2																							
				2	2	3	2	3	3	3		3	2																									
				3	3	3	2		4	3		3	2		2	1																						
				4	4	3	2	2	3	3		3	3	2	2		3	2																				
				5	5	3	2		3	4		3	4	1	3																							
				6	6	3	3		3	5		2	3		2		3		1																			
				7	7	3	1		1	5		2	4				2																					
				8	8	3	1	2	2	4		3	2				2		3	3																		
				9	1	4	2		4	3		3	2			1			2																			
				10	2	4	1		3	3		3	3	2	2																							
				11	3	4	1		3	4		3	2	1		1																						
				12	4	4	2		2	4		3	3		3	1		1		2																		
				13	5	4	3		2	3		3	4	1	3	1	3			2																		
				14	6	4	3		2	4		2	2		2	1	3																					
				15	7	4	2		2	5		3	2		2		3	1																				
				16	8	4	2	3	2	3	2	4	4		2		2		3	3	2																	
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BroHor	BroDia	BroSter	BriMax	ElyGla	Torilis	HypGla	MadSat	GalPar	CarPac	TriPlate	TriHir	DaucPusil	Bare	Gopher	CynEch	TriRefLarge													
HREC	5/16/2017	2	1	1	1	5	2		3	4		4	2	2			2																					
				2	2	5	2		2	4		5		2		2	1	2				3	3															
				3	3	5	2		4	3		3		4		3	1		1		3																	
				4	4	5	2	2	3	4		2		4		2				2																		
				5	5	5	2		3	4		3		4		2	1	3																				
				6	6	5	3		3	4		2		4		1	1	2						1														
				7	7	5	2	2	3	3		3	3	4		4		2																				
				8	8	5	2	4	3	3		1		4		2		2																				
				9	1	6	2		3	3		3		4		3			1		2																	
				10	2	6	3		3	3		4		3	3	2	1		1						1													
				11	3	6	3		2	4		3		4	3	3	1		1																			
				12	4	6	2	3	2	4		0		4	1	2	1																					
				13	5	6	3	3	2	4		1		4	2	3	1		1																			
				14	6	6	3	2	2	4		3		4		2	1	3																				
				15	7	6	3	3	3	3		2		4		2	1	2	1																			
				16	8	6	3	1	3	3	2	3		3		1				2																		
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BroDia	BriMax	AegTri	BroSter	ElyGla	Torilis	MadSat	HypGla	CarPac	GalPar	TriPlate	TriHir	DaucPusil	TriRefLarge	Log	Bare	Gopher													
HREC	5/16/2017	2	1	1	1	7	2	2	2	4				3	3				3																			
