Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	AegTri	BriMax	BroDia	AveBar	MadSat	MicCal	DaucPusil	ClaPur	TriRefLarge	Torilis	Sidalcea	TriPlate	Bare	Gopher	CarPac	HypGla	TriCupcake	EupSpa	BroSter	AirCar	GalPar										
				2	2	7	2	3	4	4				4	3																							
				3	3	7	2	3	3	4				4	3			1																				
				4	4	7	2	3	4	3	3			3	2	3																						
				5	5	7	3	2	3	3				3	3	3		1			3	1	3															
				6	6	7	2	2	4	2	4			3	2		2																					
				7	7	7	2	3	3	3	2			3	1	1																						
				8	8	7	2	3	3	4		2		3	3		2																					
				9	1	8	3	2	3	3				3	2			1																				
				10	2	8	2	4	2	3				2	3	3			1					3	3													
				11	3	8	2	4	3	4				4	2	3		1			2																	
				12	4	8	2	3	2	4	2			3	3	2		1	2		1																	
				13	5	8	2	3	4	3	1			2	3	2		1	2		4																	
				14	6	8	2	2	4	2	3			3	2		2																					
				15	7	8	1	3	3	3	4		3	3	2	3		1																				
				16	8	8	1	3	2	2	3			3	2	3																						
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	ElyGla	Torilis	MadSat	HypGla	DaucPusil	GalPar	TriPlate	TriHir	LacSer	CarPac	Bare	Gopher	ClaPur													
HREC	5/16/2017	2	2	1	1	1	4	4		2				3	3	2		1																				
				2	2	1	3	5	2	2				3	2	2					2																	
				3	3	1	2	3	2	4	3			3	3	2																						
				4	4	1	2	1		3	3			2	3	3		1																				
				5	5	1	2	2	2	3	2			4	3	2																						
				6	6	1	2	4	2	3	2			4	2	2	2					2																
				7	7	1	2	3	2	3	3			3	3	2	1		1																			
				8	8	1	2	2	2	3	3			4	2	2	2																					
				9	1	2	2	5	2	2	2			4	2			1																				
				10	2	2	1	5	1	2		2		3	2	2			1				3	3														
				11	3	2	2	4	3	3	2			3	3	3																						
				12	4	2	2		3	4	3			4	4							2																
				13	5	2	2		1	4	2			4	3		1								2													
				14	6	2	2		2	3	3			4	3	3																						
				15	7	2	2		2	3	3			4	2	4			1		2																	
				16	8	2	3		2	3	2			4	1	3		1		2		2																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	ElyGla	Torilis	MadSat	HypGla	DaucPusil	GalPar	TriPlate	TriHir	CarPac	Bare	Gopher	LotusSmall	TriRefLarge	ClaPur												
HREC	5/16/2017	2	2	1	1	3	3	3		2	3			2	3						4																	
				2	2	3	2	3	2	3	3			4	4		3		1	1	2																	
				3	3	3	2	2	2	4	2			3	1	3	1	1				3	3	1														
				4	4	3	2		3	4	2			4	3	1	3								2													
				5	5	3	3		2	3	2			3	3	2	1	1	2		3	3	3		2													
				6	6	3	2		2	3	3			4	2	2										1												
				7	7	3	3		3	3				5	3	3																						
				8	8	3	3		2	3	3			5	2	3				1	4																	
				9	1	4	2	4	1	3	3			4	3		2	1			2																	
				10	2	4	2	3	2	3	3			3	3		1																					
				11	3	4	2	2	4	3	3			3	4	3	2		1	2																		
				12	4	4	2	1		3	2	2		2	3							4	4															
				13	5	4	2	4	3	3	2	1		3	2	1																						
				14	6	4	3	2	1	3	2	2		3	2	3		1		1																		
				15	7	4	3		3	2	2	2		4	2	2	2			2					2													
				16	8	4	2		3	2	3			3	3	3	2	1		2					2													
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	ElyGla	Torilis	MadSat	HypGla	DaucPusil	GalPar	TriPlate	TriHir	CarPac	Bare	Gopher	LotusSmall	ClaPur	TriRefLarge	LacSer	ClaPur	AnaArv									
HREC	5/16/2017	2	2	1	1	5	2	3	3	2	1			3	1	2	2				2	3	3															
				2	2	5	2		1	3	2			3		2	3			1	4	2	2															
				3	3	5	1	3	2	3	2			1	2	1	2	1				3	3															
				4	4	5	2	4	1	3	2			2	1	2		1																				
				5	5	5	2	3	1	3	1	2		2	2	2	1					3	3															
				6	6	5	2	3		4	2	1		3	3	2																						
				7	7	5	2	2	3	2	2			3	3	3	2									2												
				8	8	5	2	1	3	2	4			2	2	3	1					3	3															
				9	1	6	2	3	2	3	2			3		2	2		2	1	2						2											
				10	2	6	2	4		2	2		3	3		2					2	2	2															
				11	3	6	2	4		2	2			2	2	2		1																				
				12	4	6	2	4		3				3	2	2		1		2		3	3															
				13	5	6	2	5	1	2				3	2	3													1									
				14	6	6	2	3	1	2	1			2	2	2	2																					
				15	7	6	2	3	2	3	1			4	2	2	2											2										
				16	8	6	2	2	3	3	2			2	3	3	1	1				4	4															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BriMax	BroHor	BroDia	BroSter	ElyGla	Torilis	MadSat	HypGla	DaucPusil	GalPar	TriHir	TriPlate	TriRefLarge	Bare	Gopher	CarPac	AnaArv	LinPar	TriCupcake	ClaPur										
HREC	5/17/2017	2	2	1	1	7	2	5	2	2				3		2	3		2					2														
				2	2	7	3	3	3	1	2			3	1	3	1	1	2					2														
				3	3	7	2	4	2					3	3	2		2						1														
				4	4	7	2	4	2					2	2	1	1	1							1													
				5	5	7	2	5	1		1				2	2		1							1													
				6	6	7	2	4	3					3		3		2																				
				7	7	7		4	3					1	2	3	2	1		1					1													
				8	8	7	1	4	3	2	2			1	2	4	3	1		1																		
				9	1	8	2	4	3	2				2	2	3	3	1	2						2	2												
				10	2	8	3	4	3					3	2	3	1	1																				
				11	3	8	2	4	3				3	2	3	2	3								1													
				12	4	8	2	5	2					3	2	1		2																				
				13	5	8	2	6	2					2		2		1																				
				14	6	8		6	2					2		3	1																					
				15	7	8		4	3	2				2		3	3	1									1											
				16	8	8		4	4	2				1		3	2	2		2					2			2										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BriMax	NasPul	AirCar	BroDia	BriMin	BroHor	HypGla	DaucPusil	Sidalcea	SisBel	GalPar	Bare	Gopher	Lotus	AnaArv	MicCal	ClaPur	TriPlate	AgoHet	Linanthus Sp	FilagoGallica										
HREC	5/14/2017	3	1	1	1	1	3	2	3		1		1	6	2			1				1		1														
				2	2	1	3	3	3	2		1	1	6	2			1						1	1													
				3	3	1	2		4		3		2	5	2			1			2	1		1	1													
				4	4	1	2	2	4	1	3		2	5	2			1					1	1														
				5	5	1	3	2			4		1	4	3			1			2	1				1												
				6	6	1	2	4			4		1	3	2			1				1		1														
				7	7	1	3	3			3		1	5	2			1			2	1		1	2													
				8	8	1	3	2	3		2		2	5	3		2	1					1	1														
				9	1	2	3	2			2		2	6	3			1			1																	
				10	2	2	3	3			2		2	6	3			1						1	1													
				11	3	2	2		3		2		1	5	2			1				2	2	2			2											
				12	4	2	2				2		1	6	2			1						2		1	2	1										
				13	5	2	3	2	3		4		2	3	4			1								1												
				14	6	2	2	3	4	1	3	1	1	5	2			1			1	1																
				15	7	2	2	1			2			6	2			1				1		2				1										
				16	8	2	2	2	4	1	1			6	3			1				1																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BriMax	NasPul	AirCar	BroDia	BriMin	BroHor	HypGla	DaucPusil	Sidalcea	SisBel	GalPar	Bare	Gopher	Lotus	AnaArv	MicCal	ClaPur	TriPlate	AgoHet	Linanthus Sp	FilagoGallica	TriRefNoBract	Navarretia	TriEri	MadSat	TaeCap	SanBip	BroMad			
HREC	5/14/2017	3	1	1	1	3	3	1			3	1	1	6	2			2				1				1												
				2	2	3	3	1			4	2	2	6	3			2			2			1	1													
				3	3	3	3		3		3		2	4	4			1				1		2	2			1	2									
				4	4	3	3	2	3		3	1	1	4	3			1			2			2		1	1											
				5	5	3	2		3		3		2	5	4			2																				
				6	6	3	3	2		1	2	1	1	6	2			2						2			1			1								
				7	7	3	2	1		1		1	2	6	3			1				1						1			1							
				8	8	3	2	2		1		2	1	6	3									1								2	1					
				9	1	4	2	3	3	1	3	1	2	4	3	2		1				1	1															
				10	2	4	3	1			3		2	4	4	1		1					1	1														
				11	3	4	3	2	4		3		1	3	3	2		1						1														
				12	4	4	3		2		3		2	4	4	1		1					2	2						1								
				13	5	4	3		3		2		1	5	3			2						1	1													
				14	6	4	4		2		3			5	2			1						2			1							2				
				15	7	4	3				2	1	1	6	3			1				1	2	2		1								1	1			
				16	8	4	3	1			2			6	2			1					2	1														
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BriMax	NasPul	AirCar	BroDia	BriMin	BroHor	HypGla	DaucPusil	Sidalcea	GalPar	Lotus	AnaArv	MicCal	ClaPur	TriPlate	AgoHet(CenMil?)	FilGal	MadSat	Linanthus	Navarretia	Torilis	LongawnBrome									
HREC	5/14/2017	3	1	1	1	5	2	3	4		3			2	3		1			1	2	2			3	1												
				2	2	5	4	1			2		3	3	4		1		1		2	1																
				3	3	5	4		2		2		2	3	5		2																					
				4	4	5	3		3		2		1	4	3		1		2	1	2																	
				5	5	5	4				3		1	3	4		1		1			1					2											
				6	6	5	4	2	4		2		1	4	3		1		1	1			2				1	1										
				7	7	5	3	3		2	2		1	4	4		2		1		2								1									
				8	8	5	3	1	3	1	2		1	5	4	1	2		1		1				2													
				9	1	6	2		4		2		2	3	4		1		1	2	1				2													
				10	2	6	3	2	3	1	2		2	4	4		1		1		3	2						1										
				11	3	6	3				2		2	4	3		2		2		2							1										
				12	4	6	4				3		2	4	3		2		2		3				2													
				13	5	6	5		3		3		2	3	4		2		1		1							1	1									
				14	6	6	3			2	3	1	1	5	4		2				1	1	1		1		2											
				15	7	6	2		5		2	1		3	2		2		1		1		2		2													
				16	8	6	4	1			3	2	2	5	2	1	2				2	1		1	1													
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BriMax	NasPul	AirCar	BroDia	BriMin	BroHor	HypGla	DaucPusil	Sidalcea	SisBel	GalPar	Bare	Gopher	Lotus	AnaArv	MicCal	ClaPur	TriPlate	AgoHet	FilGal	MadSat	Torilis	BroMad	SanBip	LongawnBrome						
HREC	5/14/2017	3	1	1	1	7	3	3	3		3		1	3	4	2		2								1	1	1	1									
				2	2	7	4				3			4	4			2						2			1	2		3								
				3	3	7	3	3		1	2		1	3	3			2				2		3			2											
				4	4	7	3	3			2		2	3	4			2									1	2			2							
				5	5	7	4	2			3		2	3	3			3						1	1													
				6	6	7	3		3		3		1	3	3	2		3						1	2													
				7	7	7	3		3		3		2	4	3			2						2	2													
				8	8	7	3				4		1	4	2	2		1						2			1	1		1								
				9	1	8	3				3		2	5	3	2		2				1						3										
				10	2	8	4				2		2	5	3			1				1										1						
				11	3	8	4	3			2		1	5	2			2				1		2		2												
				12	4	8	4	2			2		1	5	3	2		2				1			1	1	2			1								
				13	5	8	3	2			3		1	4	3			3				1		2	1													
				14	6	8	4				4		1	3	2			2				2		2	1													
				15	7	8	4				3		2	4	2			1				2																
				16	8	8	4				4		2	4	3	2		2				3		2			1	1										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	BroDia	BroMad	BriMax	BriMin	AveBar	NasPul	TaeCap	AirCar	HypGla	AgoHet (Lagophylla?)	DaucPusil	ClaPur	TriPlate	GalPar	SanBip	AnaArv	FilGal	Sidalcea	MadSat	MicCal	GasVen	Plantago	Torilis	Linanthus	Bare	Gopher	SisBel	Navarretia			
HREC	5/14/2017	3	2	1	1	1	2	3		2		3		2		4	2	3	2	2		2																
				2	2	1	2	3		2		2			1	5		2	3		2																	
				3	3	1	2	2		2		3				5		2	2		2			1	1													
				4	4	1	2	2			1	2			1	5	1	2			1			1	2	2	1	1	1									
				5	5	1	2	1			1	1	4			4		3	1		1			1	1	3												
				6	6	1	1	3				2	3		2	5		2	1		1			1	1	1	1			1								
				7	7	1	1	3				3	3			5		2			1			2		2				2								
				8	8	1	1	3				3				5		2	2		1			2		2	1			1	1							
				9	1	2	2	2				3			1	4		3	2		1	1		1		2												
				10	2	2	1	2				2				4		2	2	1	1											4	4					
				11	3	2	2	2				3				5		4	1		1				1	3				1								
				12	4	2	1	1				2	2			4		3		1	1			2		3	3					3						
				13	5	2	1	2				2	5			4		2			2		2	3	2	2	2											
				14	6	2	1	2		2		1	3			5		2			1			2	2							2	2					
				15	7	2	0	1		2		1	4			4		3			1	2	1											3				
				16	8	2	1					1	3			6		1	1					1						1					1			
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	BroDia	BroMad	BriMax	AveBar	NasPul	TaeCap	AirCar	HypGla	AgoHet	DaucPusil	ClaPur	TriPlate	GalPar	FilGal	AnaArv	Sidalcea	MadSat	MicCal	Torilis	Bare	Gopher	Lotus	SisBel	BriMin	Plantago						
HREC	5/14/2017	3	2	1	1	3	2	2			3				5		4	2		2				2														
				2	2	3	2	2			2			1	5		2	2		2				2			3											
				3	3	3	1	2			2	3			5		3	2		1	1		1		1				1									
				4	4	3	1	3			2				5		3	2		1		1		3					2									
				5	5	3	1	2			3	3		1	5		3		1	1	1	1	2	3														
				6	6	3	1	1			2	4		1	5		3		1	1	1	2		3						2								
				7	7	3	1	1			1				6		2	1		1	1	1		2						2								
				8	8	3	1	2			2	2			5		2		1	2		2		2														
				9	1	4	1	2			2				6		2	2		1	1			2							1							
				10	2	4	1	3			2				6		2	2		1				1	1													
				11	3	4					2				6		2	2		1	1			1	3													
				12	4	4		2			2				6	1	2	1		2	2			1	2							1						
				13	5	4	1	3			2				5	1	3	1		1				1	2					2								
				14	6	4	1	3			2				5	2	2			2	1			2	1					2								
				15	7	4	1	3			2	2			6	1	2			1	1																	
				16	8	4	1	3		1	1	2			6		2			1	1	1		2	2	1												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	BroDia	BriMax	AveBar	NasPul	AirCar	BriMin	HypGla	DaucPusil	GalPar	MadSat	ClaPur	FilGal	MicCal	AgoHet	TriPlate	Torilis	Bare	Gopher	Sidalcea	SanBip	Lotus(small)	TriHir	TaeCap	AnaArv	PurpleCup	BroMad	Navarretia				
HREC	5/14/2017	3	2	1	1	5	1	2		2				6	2	1		2	1	1	2					2												
				2	2	5	1	2		2				5	3	1	2	2	1		1					2	2											
				3	3	5		2		2				5	3	2	2	2			1																	
				4	4	5		2		2				6	2	1	2	1	1	1	1																	
				5	5	5		2		2				6	3	1		1	1	2	1	1																
				6	6	5		1	2	3	2			5	2	1	3									2												
				7	7	5		1		2	3			5	2	1	3	2	2	2	3					2		1										
