Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	AegTri	BriMax	BroDia	AveBar	MadSat	MicCal	DaucPusil	ClaPur	TriRefLarge	Torilis	Sidalcea	TriPlate	Bare	Gopher	CarPac	HypGla	TriCupcake	EupSpa	BroSter	AirCar	GalPar										
HREC	4/12/2017	2	2	1	1	5	1			2	1	1	2																									
				2	2	5			2	2		2	1	2					Step on 8%																			
				3	3	5	2	1		1	1	2		3	3																							
				4	4	5	2		1		2	2																										
				5	5	5	2			1	1	2		4	4																							
				6	6	5	2				1	2	2	2	2				Step on 5%																			
				7	7	5	3		1	2	1	2				1																						
				8	8	5	3			2	1	2		2	2	1																						
				9	1	6	2	2	2	1	1	2	2				1																					
				10	2	6	2	1				2	2	3	3																							
				11	3	6	2	2			1	2		2					Step on 8%																			
				12	4	6	2		1		2	2							Step on 8%																			
				13	5	6	2	1				2				1																						
				14	6	6	2			1	1	2		3	3				Step on 4%																			
				15	7	6	2	1	1	2	1	2		2	2	2																						
				16	8	6	2	2		1	1	2		2	2	2																						
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerDis	GerMol	LupBic	AchMil	GalPar	VicSat	EroCic	Bare	Gopher	LasCal	FuzzyGreen	DicCap	Note																			
HREC	4/12/2017	2	2	1	1	7	2			2	1	2	1																									
				2	2	7	2	1		1	1	2	1																									
				3	3	7	2	1			1	2		2	2				Step on 5%																			
				4	4	7	2				1			2	2																							
				5	5	7	2	1			1	1		2	2																							
				6	6	7	2	2			2		1																									
				7	7	7	2			2	1	2				2		1	Step on 4%																			
				8	8	7	2			2	1	2							Step on 8%																			
				9	1	8	2	3		2	1		2	3					Step on 15%																			
				10	2	8		3		1	2	2																										
				11	3	8	2	2				2		2	2																							
				12	4	8	2	2		1	2			2	2																							
				13	5	8	2	2		1	1																											
				14	6	8	2	1		2																												
				15	7	8	2		1	3	2			2	2																							
				16	8	8	3			2	1	2		3	3																							
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	DicCap	MicCal	EroCic	SanBip	LupBic	LinPar	Scandix	Bare	Gopher	GalPar																						
HREC	4/21/2017	3	1	1	1	1			2				3																									
				2	2	1	2		2			2	3																									
				3	3	1	1		2		2	1	3			1																						
				4	4	1			2				3																									
				5	5	1			1				3	3	3																							
				6	6	1							2			1																						
				7	7	1	1				2		2	2		1																						
				8	8	1		1	1		1		3			1																						
				9	1	2	2		1			2	3			1																						
				10	2	2			1			1	3																									
				11	3	2	1	1				2	2	3	3																							
				12	4	2			2	1		2	2	2	2																							
				13	5	2							3			1																						
				14	6	2			1				2	2	2	1																						
				15	7	2	2		2				3			1																						
				16	8	2	1				1		3			1																						
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	DicCap	MicCal	EroCic	LinPar	LupBic	Scandix	Bare	Gopher	GalPar	Yellow/White Brush																						
HREC	4/21/2017	3	1	1	1	3					2	2																										
				2	2	3				1	2	3			1																							
				3	3	3	2			1	1	4	2	2	1																							
				4	4	3	1			2	1	3			1																							
				5	5	3			2			4			1																							
				6	6	3	1		1	2	2	3			1																							
				7	7	3				2	2	3	2	2	1	1																						
				8	8	3					1	3			1																							
				9	1	4	2	1	2	1	1	3			1																							
				10	2	4	2	2	1	1		4			1																							
				11	3	4	2	1	1			3	2	2	1																							
				12	4	4		2			1	3			2																							
				13	5	4			1	1	1	3			2																							
				14	6	4	2	1	2	1		3			1																							
				15	7	4	2	2	1	2		3			1																							
				16	8	4	2	2	1			3			1																							
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	DicCap	MicCal	EroCic	LupBic	LinPar	Bare	Gopher	GalPar	SanBip	VicSat																					
HREC	4/21/2017	3	1	1	1	5	4		2	1	2	2	3																									
				2	2	5	4				1	1	2		1																							
				3	3	5	5				2				2																							
				4	4	5	3		1						1																							
				5	5	5	4			2					2																							
				6	6	5	3			1		1			2																							
				7	7	5	3	2	1	2		1			2	1																						
				8	8	5	4	2				1			1																							
				9	1	6	3	1	2	1							2																					
				10	2	6	3				1				1																							
				11	3	6	3				1		2	2	2																							
				12	4	6	3	2			2				2		1																					
				13	5	6	4			1					1																							
				14	6	6	4	2	1	1	2	1			1																							
				15	7	6	2	1	1	1					2																							
				16	8	6	2								2																							
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	MicCal	EroCic	LinPar	DicCap	GalPar	VicSat	Bare	Gopher	LupBic	AirCar	SanBip																				
HREC	4/21/2017	3	1	1	1	7	3				1	2	2	2	2	1																						
				2	2	7	3	1			1	2		2																								
				3	3	7	3					2	2	3	3	2	1																					
				4	4	7	4					2				2																						
				5	5	7	3					2				2																						
				6	6	7	3				2	3				1																						
				7	7	7	2		1		3	2				1																						
				8	8	7	2				1				1	1																						
				9	1	8	3		1		2	2																										
				10	2	8	3					1		2	2																							
				11	3	8	3					2	1	2	2																							
				12	4	8	3					2		2				1																				
				13	5	8	3				1	2																										
				14	6	8	2				2	2																										
				15	7	8	2				2	1		2	2	2																						
				16	8	8	3		2			2				1																						
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	LupBic	DicCap	GalPar	Bare	Gopher	MicCal	LinPar	SisBel																							
HREC	4/21/2017	3	2	1	1	1	4		2	1	2																											
				2	2	1	3			1																												
				3	3	1	3	2		2																												
				4	4	1	3	2	2	1			2																									
				5	5	1	3		2	1																												
				6	6	1	2	2		1			1																									
				7	7	1	1		2	1	2	2																										
				8	8	1	1	2		1			1	1																								
				9	1	2	4		2	2	2	2																										
				10	2	2	3	3	2	1	2	2	1																									
				11	3	2	3	1		1			1																									
				12	4	2	3	2		1	2		3																									
				13	5	2	2	2	1	2			2																									
				14	6	2	2	1	2	1	2	2																										
				15	7	2	3	1	2	2					3																							
				16	8	2	0			1	2	2																										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	EroCic	DicCap	GalPar	Bare	Gopher	LupBic	MicCal	WhiteBrush	SisBel	SanBip																					
HREC	4/21/2017	3	2	1	1	3	4		2	2	2		3																									
				2	2	3	3		2	1				1																								
				3	3	3	3		1	1	2	2		2																								
				4	4	3	3			1																												
				5	5	3	3			2																												
				6	6	3	4		2	1			2																									
				7	7	3	2							1																								
				8	8	3	2			1																												
				9	1	4	3		1	1				1																								
				10	2	4	3		1	1				1																								
				11	3	4	3		2	1				3																								
				12	4	4	3	1	2	3	2			2																								
				13	5	4	3		1	2				2	3																							
				14	6	4	3			1	3					2																						
				15	7	4	2			1																												
				16	8	4	2	1		1			2	2			1																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	EroCic	DicCap	GalPar	LupBic	MicCal	Bare	Gopher	WhiteBrush	Rock	UnkForb(photo) Vic?																					
HREC	4/21/2017	3	2	1	1	5	3		1	1	1		1																									
				2	2	5	3		1	1	1																											
				3	3	5	3		1	2																												
				4	4	5	3			2		2	2																									
				5	5	5	3			1		2			1																							
				6	6	5	2			1	1																											
				7	7	5	3			1	2	2	2	2																								
				8	8	5	2		2	1	1	2	3			2																						
				9	1	6	4			1	1																											
				10	2	6	4			2																												
				11	3	6	4			2			3																									
				12	4	6	3			1																												
				13	5	6	2		1	1		1																										
				14	6	6	2			1		1																										
				15	7	6	2			2							1																					
				16	8	6	2		2			2	3	2			2																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	Scandix	GalPar	LupBic	DicCap	SisBel	Bare	Gopher	RedLotus (pic)	MicCal																							
HREC	4/21/2017	3	2	1	1	7	4	2																														
				2	2	7	3	1																														
				3	3	7	4	1	2																													
				4	4	7	3	1																														
				5	5	7	3	1																														
				6	6	7	2	1	2		3																											
				7	7	7	3			2		2																										
				8	8	7	3	1		2			1																									
				9	1	8	4	1		2		2																										
				10	2	8	4	1	1																													
				11	3	8	3	1							2																							
				12	4	8	5	1	2	1																												
				13	5	8	3	2		2																												
				14	6	8	2	1	2																													
				15	7	8	2	1	2	1					2																							
				16	8	8	4	1																														
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	LupBic	DicCap	GerMol(LARGE)	YellowApiaceae	LinPar	Scandix	Bare																								
HREC	4/21/2017	4	1	1	1	1	4	2	3																													
				2	2	1	3	2	3				1																									
				3	3	1	2	3	1	3			2																									
				4	4	1	4	2	2				2																									
				5	5	1	3	2	2		2	1	2																									
				6	6	1	2	2	2	2		3	1																									
				7	7	1	3	2				2	1																									
				8	8	1	5	1	1				2																									
				9	1	2	3	3	1	2																												
				10	2	2	2	3					1																									
				11	3	2	2	3	1	2			1																									
				12	4	2	3	2	2	2				3																								
				13	5	2	3	2	2			2																										
				14	6	2	2		2			3																										
				15	7	2	3		1			1	2																									
				16	8	2	5		1				1																									
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	DicCap	LupBic	NotGerMol	Scandix	LinPar	Bare	Gopher																								
HREC	4/21/2017	4	1	1	1	3			2	1																												
				2	2	3	2		3	1	1																											
				3	3	3		2																														
				4	4	3	2		2																													
				5	5	3	3	2			2	2																										
				6	6	3	2	2	2	1		3																										
				7	7	3	3	2	2		2																											
				8	8	3	3	2	1		1																											
				9	1	4			3		2																											
				10	2	4		1	3	1			2	2																								
				11	3	4	1		3	2																												
				12	4	4	1		1																													
				13	5	4	1	1	2	2		1																										
				14	6	4	1	2	2	1		1																										
				15	7	4	2	1			2																											
				16	8	4	3		2			1																										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	DicCap	LupBic	NotGerMol	Scandix	LinPar	Bare	Gopher	White/Pink Brush																							
HREC	4/21/2017	4	1	1	1	5			2	2	2																											
				2	2	5	2	1	2		2																											
				3	3	5			2																													
				4	4	5																																
				5	5	5			1	1																												
				6	6	5	2																															
				7	7	5	1		1																													
				8	8	5	2		1		1																											
				9	1	6		2	2	2	1																											
				10	2	6			2		2																											
				11	3	6		1	2																													
				12	4	6			3																													
				13	5	6	1																															
				14	6	6																																
				15	7	6			2						1																							
				16	8	6			2																													
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	LupBic	DicCap	Scandix	White/Pink Brush	EroCic																										
HREC	4/21/2017	4	1	1	1	7		3																														
				2	2	7	1	2	1																													
				3	3	7	2	1	1	1																												
				4	4	7																																
				5	5	7				1																												
				6	6	7	1		1	2																												
				7	7	7	1	2		2																												
				8	8	7			1		1																											
				9	1	8		1	1																													
				10	2	8	2	2																														
				11	3	8	1	2		2	1																											
				12	4	8	1	3	1																													
				13	5	8	1	1	1		2																											
				14	6	8		2	1		1																											
				15	7	8	1	2																														
				16	8	8	1	2			2	1																										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	LupBic	DicCap	Scandix	LinPar	Bare	Gopher	White/Pink Brush																								
HREC	4/21/2017	4	2	1	1	1	4	2	1		1																											
				2	2	1	4	1		2																												
				3	3	1	4	2	1																													
				4	4	1	4																															
				5	5	1	3	1	1	2																												
				6	6	1	4		1			2	2																									
				7	7	1	4			2																												
				8	8	1	4			1																												
				9	1	2	4	3		2																												
				10	2	2	4	3		3																												
				11	3	2	3	3	1	2				1																								
				12	4	2	3	3		1																												
				13	5	2	4	2	2	2																												
				14	6	2	3		2	2																												
				15	7	2	3		2	1																												
				16	8	2	4	1																														
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	LupBic	DicCap	Scandix	Bare	Gopher	LasCal																									
HREC	4/21/2017	4	2	1	1	3	3	3		3																												
				2	2	3	3	4	1	3																												
				3	3	3	4	2		2																												
				4	4	3	1		1	2																												
				5	5	3	3	2	1	2																												
				6	6	3	3		1																													
				7	7	3	2		1																													
				8	8	3	2		1																													
				9	1	4	3	3	2	2	3	3																										
				10	2	4	2	2		2																												
				11	3	4	1			2																												
				12	4	4	4			2																												
				13	5	4	3	2					2																									
				14	6	4	3	1		1			2																									
				15	7	4	2		1																													
				16	8	4				2																												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	DicCap	LupBic	SisBel	Scandix	EroCic	VicSat	LasCal	Gopher	Bare																						
HREC	4/21/2017	4	2	1	1	5	3		3	2																												
				2	2	5						1																										
				3	3	5			2				1																									
				4	4	5	2		1					2																								
				5	5	5	1		1					2																								
				6	6	5	3		2						2	2																						
				7	7	5	2		1																													
				8	8	5																																
				9	1	6	3																															
				10	2	6	4		3																													
				11	3	6	1		2																													
				12	4	6		2	2																													
				13	5	6	2																															
				14	6	6	2		2					2																								
				15	7	6	2		2					2																								
				16	8	6								2																								
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	MicCal	LupBic	DicCap	Scandix	White/Pink Brush	LinPar	LasCal	GalPar																								
HREC	4/21/2017	4	2	1	1	7	2	3																														
				2	2	7	2	2	1																													
				3	3	7		2			1																											
				4	4	7	2																															
				5	5	7	2	2			1																											
				6	6	7	2			1		1																										
				7	7	7		2				1	2	1																								
				8	8	7		1	1			1	3																									
				9	1	8		2																														
				10	2	8		2					1																									
				11	3	8		3			2	1																										
				12	4	8	2	1			1																											
				13	5	8		2				1																										
				14	6	8					1	2	2	1																								
				15	7	8		1	1	1		2	3																									
				16	8	8		1		2		2	3	1																								
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	1	1	1	1	3																															
				2	2	1	3																															
				3	3	1	4																															
				4	4	1	4																															
				5	5	1	4																															
				6	6	1	4																															
				7	7	1	3																															
				8	8	1	3																															
				9	1	2	2																															
				10	2	2	4																															
				11	3	2	4																															
				12	4	2	4																															
				13	5	2	3																															
				14	6	2	3																															
				15	7	2	4																															
				16	8	2	3																															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	1	1	1	3	3																															
				2	2	3	3																															
				3	3	3	3																															
				4	4	3	2																															
				5	5	3	2																															
				6	6	3	3																															
				7	7	3	3																															
				8	8	3	3																															
				9	1	4																																
				10	2	4																																
				11	3	4	2																															
				12	4	4	2																															
				13	5	4	3																															
				14	6	4	3																															
				15	7	4	3																															
				16	8	4	3																															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	1	1	1	5																																
				2	2	5	2																															
				3	3	5	2																															
				4	4	5																																
				5	5	5	2																															
				6	6	5	3																															
				7	7	5	2																															
				8	8	5	2																															
				9	1	6																																
				10	2	6	1																															
				11	3	6																																
				12	4	6	1																															
				13	5	6	2																															
				14	6	6	1																															
				15	7	6	1																															
				16	8	6	2																															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	1	1	1	7																																
				2	2	7																																
				3	3	7																																
				4	4	7																																
				5	5	7	1																															
				6	6	7	1																															
				7	7	7																																
				8	8	7	1																															
				9	1	8																																
				10	2	8																																
				11	3	8																																
				12	4	8	1																															
				13	5	8	1																															
				14	6	8																																
				15	7	8																																
				16	8	8																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	2	1	1	1	2																															
				2	2	1	1																															
				3	3	1	1																															
				4	4	1	1																															
				5	5	1	2																															
				6	6	1																																
				7	7	1	2																															
				8	8	1	2																															
				9	1	2	2																															
				10	2	2	2																															
				11	3	2	1																															
				12	4	2	1																															
				13	5	2																																
				14	6	2	2																															
				15	7	2	1																															
				16	8	2	2																															
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	2	1	1	3	4																															
				2	2	3	2																															
				3	3	3	2																															
				4	4	3																																
				5	5	3	3																															
				6	6	3	2																															
				7	7	3	2																															
				8	8	3	1																															
				9	1	4	2																															
				10	2	4	2																															
				11	3	4																																
				12	4	4	2																															
				13	5	4	4																															
				14	6	4	3																															
				15	7	4	2																															
				16	8	4																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur																															
HREC	6/29/2017	4	2	1	1	6	3																															
				2	2	6	2																															
				3	3	6	2																															
				4	4	6	2																															
				5	5	6	3																															
				6	6	6	2																															
				7	7	6	1																															
				8	8	6																																
				9	1	5	2																															
				10	2	5	3																															
				11	3	5	2																															
				12	4	5																																
				13	5	5	1																															
				14	6	5	3																															
				15	7	5	1																															
				16	8	5																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	LotPur	ElymusHairy?																														
HREC	6/29/2017	4	2	1	1	7	2																															
				2	2	7	1																															
				3	3	7																																
				4	4	7	1																															
				5	5	7																																
				6	6	7	2																															
				7	7	7	1																															
				8	8	7	1																															
				9	1	8																																
				10	2	8																																
				11	3	8		1																														
				12	4	8																																
				13	5	8																																
				14	6	8																																
				15	7	8																																
				16	8	8																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	CenSol																															
HREC	6/29/2017	2	1	1	1	1																																
				2	2	1	2																															
				3	3	1																																
				4	4	1																																
				5	5	1	2																															
				6	6	1	3																															
				7	7	1	2																															
				8	8	1																																
				9	1	2																																
				10	2	2																																
				11	3	2	3																															
				12	4	2																																
				13	5	2																																
				14	6	2																																
				15	7	2																																
				16	8	2																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	CenSol																															
HREC	6/29/2017	2	1	1	1	3																																
				2	2	3																																
				3	3	3																																
				4	4	3																																
				5	5	3																																
				6	6	3																																
				7	7	3																																
				8	8	3																																
				9	1	4																																
				10	2	4																																
				11	3	4																																
				12	4	4																																
				13	5	4	2																															
				14	6	4																																
				15	7	4																																
				16	8	4																																
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	CenSol																															
HREC	6/29/2017	2	1	1	1	5																																
				2	2	5																																
				3	3	5																																
				4	4	5																																
				5	5	5																																
				6	6	5	2																															
				7	7	5																																
				8	8	5																																
				9	1	6																																
				10	2	6																																
				11	3	6																																
				12	4	6																																
				13	5	6																																
				14	6	6																																
				15	7	6																																
				16	8	6																																
