SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,1,1,1,1,5,2,3,1,,,,1,2,1,1,,,,,,,,,
HREC,1,1,2,2,5,2,2,2,,,1,1,4,,,,,,,,,,,
HREC,1,1,3,3,5,2,2,2,,,1,1,2,,,1,1,,,,,,,
HREC,1,1,4,4,5,2,,1,,,,1,,,,,,,,,,,,
HREC,1,1,5,5,5,2,2,2,,1,,1,,1,1,,1,1,,,,,,
HREC,1,1,6,6,5,2,,4,,,,1,1,1,1,,2,,,,,,,
HREC,1,1,7,7,5,2,2,3,,,,,1,,1,,,,1,,,,,
HREC,1,1,8,8,5,0,1,2,,,1,,,,1,,1,,,,,,,
HREC,1,1,9,1,6,2,2,,,,1,1,2,,,,1,,1,,,,,
HREC,1,1,10,2,6,2,2,1,,,1,,3,,2,,,,,,,,,
HREC,1,1,11,3,6,2,1,1,,1,1,1,,,1,1,1,,,,,,,
HREC,1,1,12,4,6,2,2,2,,1,,2,,,2,,1,,,,,,,
HREC,1,1,13,5,6,2,1,2,,1,1,1,,1,3,1,,2,,,,,,
HREC,1,1,14,6,6,2,2,2,,1,,,,1,2,,,,1,2,,,,
HREC,1,1,15,7,6,2,1,2,,,,,,,1,,,,,,,,,
HREC,1,1,16,8,6,2,,2,10,,,,1,,1,,,,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,EroCic,CarPac,LotMic,TriCil,LatSph,GerMol,TriBif,DicCap,Rock,LatSph,
HREC,1,1,1,1,7,2,3,1,,,,1,3,1,,,,,,,,,,
HREC,1,1,2,2,7,2,2,,,,1,1,2,1,1,1,,,,,,,,
HREC,1,1,3,3,7,2,2,1,,,1,,,,1,,1,,,,,,,
HREC,1,1,4,4,7,2,2,1,,1,1,1,2,2,,2,,2,,,,,,
HREC,1,1,5,5,7,2,,2,,,,,,2,,2,1,,,,,,,
HREC,1,1,6,6,7,2,,,,,,,,2,1,2,,,,,,,,
HREC,1,1,7,7,7,1,1,2,,,,,,1,,,,,1,,,,,
HREC,1,1,8,8,7,2,,2,12,,,1,1,,,2,,,,1,,,,
HREC,1,1,9,1,8,1,3,,,,,,,2,,,,,1,,1,,,
HREC,1,1,10,2,8,2,2,,20,1,,1,2,2,,1,,,,,,15,,
HREC,1,1,11,3,8,2,2,,,,,1,1,1,1,,,,,,,,,
HREC,1,1,12,4,8,2,,1,,1,,,1,2,,1,,,1,,,,,
HREC,1,1,13,5,8,2,,1,,,,,,2,,2,,,,,,,,
HREC,1,1,14,6,8,3,,1,,,,,,2,,2,,,1,,,,1,
HREC,1,1,15,7,8,3,2,1,,,,,1,2,1,2,1,1,,,,,,
HREC,1,1,16,8,8,2,,1,25,2,,,,,,1,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,EroCic,CarPac,LupBic,Bare,Scandix,GalPar,LatSph,TriCil,DicCap,LotMic,GerMol,PlaNot,Tri (Large Red),,,
HREC,1,2,1,1,7,2,2,,1,1,1,3,,,,,,,,,,,,
HREC,1,2,2,2,7,3,2,,1,,,,,,,,,,,,,,,
HREC,1,2,3,3,7,3,2,2,2,,2,,,,,,,,,,,,,
HREC,1,2,4,4,7,3,1,1,2,,,,2,1,1,,,,,,,,,
HREC,1,2,5,5,7,2,1,,2,,1,,,,,,,,,,,,,
HREC,1,2,6,6,7,,,,1,,,,2,1,,,,,,,,,,
HREC,1,2,7,7,7,1,,,2,,,10,2,,,1,1,,,,,,,
HREC,1,2,8,8,7,,,,2,,2,,2,1,,2,,,,,,,,
HREC,1,2,9,1,8,3,1,,1,,,,2,,,,,,,,,,,
HREC,1,2,10,2,8,2,2,,,,,4,1,,,,,,,,,,,
HREC,1,2,11,3,8,2,1,,,,,,,,1,,,2,,,,,,
HREC,1,2,12,4,8,2,2,,1,,,,1,,,,,2,,,,,,
HREC,1,2,13,5,8,2,,,1,,,,,,,,,,1,,,,,
HREC,1,2,14,6,8,,,,2,,1,,,1,,,,,,2,2,,,
HREC,1,2,15,7,8,1,1,,2,,2,,3,1,,1,,,,,,,,
HREC,1,2,16,8,8,,,,2,,1,,3,1,,1,,,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Torilis,Scandix,EroCic,Bare,TriCil,GalPar,LotMic,TriBif,Legume small (astragalus?),San Bip,ClaPer,GerMol,DicCap,,,
HREC,1,2,1,1,5,1,,2,,,,,,,,,,,,,,,,
HREC,1,2,2,2,5,1,,2,1,,,,,,,,,,,,,,,
HREC,1,2,3,3,5,2,2,2,,1,2,20,,,,,,,,,,,,
HREC,1,2,4,4,5,,,2,,3,,20,2,2,,,,,,,,,,
HREC,1,2,5,5,5,1,2,2,,2,1,10,,,,,,,,,,,,
HREC,1,2,6,6,5,2,2,2,,2,,,1,1,2,1,1,,,,,,,
HREC,1,2,7,7,5,2,,1,2,3,2,,,1,,,,,,,,,,
HREC,1,2,8,8,5,,1,1,,2,1,,,1,,,,2,,,,,,
HREC,1,2,9,1,6,2,,2,,1,,,,,,,,,1,1,,,,
HREC,1,2,10,2,6,2,,1,,,1,,,,,,,,,2,1,,,
HREC,1,2,11,3,6,2,,1,,,1,,,1,,,,,,,1,,,
HREC,1,2,12,4,6,1,1,2,,3,2,,,,1,,,,,1,,,,
HREC,1,2,13,5,6,1,,2,,2,3,,,,2,1,,,,1,,,,
HREC,1,2,14,6,6,1,1,2,,2,2,10,,2,2,,,,,,,,,
HREC,1,2,15,7,6,1,1,1,,2,,,,1,1,1,,,,,,,,
HREC,1,2,16,8,6,1,2,,,2,2,,,1,2,1,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Torilis,Scandix,EupSpa,TriCil,CarPac,EroCic,Bare,LatSph,GalPar,TriBif,DaucPusil,PlaNot,DicCap,ClaPer,,
HREC,1,2,1,1,1,1,2,2,3,2,1,,,,,,,,,,,,,
HREC,1,2,2,2,1,1,,3,2,2,,2,2,1,,,,,,,,,,
HREC,1,2,3,3,1,,,2,2,1,,1,,1,10,1,2,,,,,,,
HREC,1,2,4,4,1,2,,2,,2,,2,,1,3,,1,1,,,,,,
HREC,1,2,5,5,1,,,3,,4,,1,,1,,,1,,1,,,,,
HREC,1,2,6,6,1,1,,2,,2,,2,2,1,,,1,,,,,,,
HREC,1,2,7,7,1,,2,2,,4,,,,1,8,,,,,2,,,,
HREC,1,2,8,8,1,2,,2,,3,,2,,,12,,1,,,2,,,,
HREC,1,2,9,1,2,,1,3,2,2,,,,1,,,1,,,2,1,1,,
HREC,1,2,10,2,2,2,1,3,,2,,1,,2,,,1,,,,,,,
HREC,1,2,11,3,2,,,3,,3,1,1,,,25,,,1,,,,,,
HREC,1,2,12,4,2,2,1,2,,3,,1,,1,,,1,,,,,,,
HREC,1,2,13,5,2,,,3,1,3,,,,2,,,2,,,,,,,
HREC,1,2,14,6,2,,,2,,2,,2,,,3,,2,,,,,,,
HREC,1,2,15,7,2,2,2,2,,3,,,,,,,1,,,,,,,
HREC,1,2,16,8,2,1,2,3,,4,,1,,1,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Torilis,Scandix,EupSpa,TriCil,GerMol,GalPar,ClaPer,Bare,LotMic,EroCic,LatSph,PlaNot,TriBif,MicCal,DicCap,SanBip
HREC,1,2,1,1,3,2,,3,,2,2,2,1,2,1,,,,,,,,,
HREC,1,2,2,2,3,2,,3,,3,1,,,2,,8,,,,,,,,
HREC,1,2,3,3,3,2,2,2,,3,,1,,,,,1,2,1,,,,,
HREC,1,2,4,4,3,1,2,2,2,3,,,2,,,20,,1,,,,,,
HREC,1,2,5,5,3,1,1,1,,3,,,,,,,1,2,,1,1,,,
HREC,1,2,6,6,3,1,,2,,3,,2,,,,3,1,,,,,2,,
HREC,1,2,7,7,3,,,,,2,,,,,,10,,,1,,,,,
HREC,1,2,8,8,3,,1,2,,4,,,,1,,,,1,1,,,,,
HREC,1,2,9,1,4,1,,3,,,1,2,,,,,1,2,1,,,,,
HREC,1,2,10,2,4,2,,3,,2,1,,,1,,10,,1,,,,,,
HREC,1,2,11,3,4,1,,2,1,2,,,,1,,,,1,1,,,,,
HREC,1,2,12,4,4,1,,4,,2,,2,,,,,1,2,,,1,,,
HREC,1,2,13,5,4,1,,3,,2,,,,,,,1,1,,,,,1,
HREC,1,2,14,6,4,1,,2,,2,,,,1,,5,,,,,1,,,1
HREC,1,2,15,7,4,2,1,2,,2,,,,1,,,2,,,,,,,
HREC,1,2,16,8,4,,,2,1,2,,,,1,,,,2,1,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,DicCap,RanCal,SanBip,Tri (Cil?),EroCic,GerMol,,,,,
HREC,1,1,1,1,1,2,,,3,,,,,,,,,,,,,,,
HREC,1,1,2,2,1,2,,2,,1,1,2,2,,,,,,,,,,,
HREC,1,1,3,3,1,2,2,3,,,1,1,,,,,,,,,,,,
HREC,1,1,4,4,1,1,,2,15,1,,,,,,,,,,,,,,
HREC,1,1,5,5,1,2,1,2,,,,2,1,1,2,2,1,,,,,,,
HREC,1,1,6,6,1,2,,2,,1,1,,,,1,1,,,,,,,,
HREC,1,1,7,7,1,2,1,3,5,,1,1,,,,,,,,,,,,
HREC,1,1,8,8,1,2,,3,3,,1,1,,,,,,,,,,,,
HREC,1,1,9,1,2,2,2,3,,,,1,1,,,,2,1,,,,,,
HREC,1,1,10,2,2,2,2,3,,,1,1,3,,,,2,1,,,,,,
HREC,1,1,11,3,2,2,3,3,,1,,1,2,,,,,1,,,,,,
HREC,1,1,12,4,2,2,2,3,,,1,2,2,,,,1,,,,,,,
HREC,1,1,13,5,2,2,3,4,5,,1,,2,,,,,,2,,,,,
HREC,1,1,14,6,2,2,2,3,,,,1,2,,,,1,1,,,,,,
HREC,1,1,15,7,2,2,1,2,,1,2,,1,,,,,,,,,,,
HREC,1,1,16,8,2,2,1,2,,,2,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,GerMol,TriCil,EroCic,CarPac,DicCap,,,,,,
HREC,1,1,1,1,3,3,,1,,,1,,2,,,,,,,,,,,
HREC,1,1,2,2,3,2,1,3,,,2,,2,,,,,,,,,,,
HREC,1,1,3,3,3,2,3,3,,1,1,,3,1,,,,,,,,,,
HREC,1,1,4,4,3,2,2,2,3,,1,,2,,1,1,,,,,,,,
HREC,1,1,5,5,3,2,3,3,,,,1,2,1,,1,,,,,,,,
HREC,1,1,6,6,3,2,1,4,,1,1,2,1,,,,,,,,,,,
HREC,1,1,7,7,3,2,1,2,,,,1,,,,,,,,,,,,
HREC,1,1,8,8,3,2,2,3,,,1,1,1,,,1,,,,,,,,
HREC,1,1,9,1,4,2,2,3,,,1,,3,,,,,,,,,,,
HREC,1,1,10,2,4,2,2,1,,,1,,1,,,,1,,,,,,,
HREC,1,1,11,3,4,2,3,2,,,1,,3,1,1,,,,,,,,,
HREC,1,1,12,4,4,2,1,2,,,1,,2,,,1,,1,,,,,,
HREC,1,1,13,5,4,2,2,3,,1,1,,,,1,2,,,,,,,,
HREC,1,1,14,6,4,2,2,3,,,2,1,1,,,2,,,,,,,,
HREC,1,1,15,7,4,2,1,3,,,1,,1,,1,1,2,,,,,,,
HREC,1,1,16,8,4,2,2,3,,1,,,1,,,1,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,Bare,LupBic,EroCic,DaucPusil,CarPac,LatSph,ClaPer,TriCil,LotMic,RanCal,Lomatium?,TriCupcake,GerMol,,
HREC,2,2,1,1,7,2,2,2,1,,,,,,,,,,,,,,,
HREC,2,2,2,2,7,2,2,1,1,,,,,5,,,,,,,,,,
HREC,2,2,3,3,7,2,2,3,1,,,,2,,1,1,,,,,,,,
HREC,2,2,4,4,7,2,2,2,2,8,2,,,,,,1,,,,,,,
HREC,2,2,5,5,7,2,2,2,2,,2,,,,,,,2,,,,,,
HREC,2,2,6,6,7,2,2,2,,15,,,1,,2,,,,,,,,,
HREC,2,2,7,7,7,3,2,2,,,1,1,2,,1,,,,2,1,,,,
HREC,2,2,8,8,7,2,2,1,,5,,,2,,1,,,,,,,,,
HREC,2,2,9,1,8,,,2,1,35,,,2,,1,,,,,,2,3,,
HREC,2,2,10,2,8,2,,2,2,,,,,,2,,,,,,,3,,
HREC,2,2,11,3,8,2,2,,2,,,,2,,,,,,,,,4,,
HREC,2,2,12,4,8,2,2,2,2,,3,,,,,,,,,,,,,
HREC,2,2,13,5,8,1,2,,2,,1,1,2,1,1,,,1,,,,,,
HREC,2,2,14,6,8,1,2,2,1,,1,,1,,1,,,,,,,,,
HREC,2,2,15,7,8,2,3,2,,,1,,2,,,,,,,,,,,
HREC,2,2,16,8,8,2,3,,,,,,1,,,,,,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,CarPac,LupBic,DaucPusil,Bare,EroCic,TriBif,TriCil,LatSph,Lomatium,CerGlo,GerMol,LotMic,,,
HREC,2,2,1,1,5,2,3,1,,2,2,2,,1,1,,,,,,,,,
HREC,2,2,2,2,5,3,1,2,1,3,,3,15,,,,,,,,,,,
HREC,2,2,3,3,5,2,1,,1,,,2,20,1,,1,1,,,,,,,
HREC,2,2,4,4,5,2,1,3,2,,1,,,,,,,,,,,,,
HREC,2,2,5,5,5,2,1,4,,,,2,,,,,2,,,,,,,
HREC,2,2,6,6,5,3,2,2,2,,,,,,,,1,,,,,,,
HREC,2,2,7,7,5,3,2,2,1,,,2,15,1,,,,1,,,,,,
HREC,2,2,8,8,5,2,4,2,1,2,,2,,,,1,,,,,,,,
HREC,2,2,9,1,6,1,3,1,2,,,,10,,,,,,,,,,,
HREC,2,2,10,2,6,2,3,2,1,3,,,,,,,1,,1,,,,,
HREC,2,2,11,3,6,2,2,4,1,,,,,,,,,,,,,,,
HREC,2,2,12,4,6,1,,2,2,,,3,,,,,2,,,1,,,,
HREC,2,2,13,5,6,2,2,2,1,2,,,,1,,,,1,,,,,,
HREC,2,2,14,6,6,2,2,,1,,,2,30,,,,1,,,,,,,
HREC,2,2,15,7,6,2,2,2,,,,3,25,,,,,,,1,,,,
HREC,2,2,16,8,6,1,2,2,,,,3,40,,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,CarPac,LupBic,DaucPusil,Bare,EroCic,LatSph,Lomatium,,,,,,,,
HREC,2,2,1,1,3,2,2,3,1,2,1,1,,,,,,,,,,,,
HREC,2,2,2,2,3,3,1,2,1,2,,2,4,,,,,,,,,,,
HREC,2,2,3,3,3,2,1,2,1,,1,2,,,,,,,,,,,,
HREC,2,2,4,4,3,2,1,2,,2,,2,,1,,,,,,,,,,
HREC,2,2,5,5,3,2,1,2,2,,1,1,,1,,,,,,,,,,
HREC,2,2,6,6,3,2,2,3,1,,1,2,,1,,,,,,,,,,
HREC,2,2,7,7,3,2,3,2,1,2,,,,,1,2,,,,,,,,
HREC,2,2,8,8,3,2,3,,,2,,1,,,1,,,,,,,,,
HREC,2,2,9,1,4,2,2,3,,,,2,,,,,,,,,,,,
HREC,2,2,10,2,4,2,1,1,1,2,,,,,1,,,,,,,,,
HREC,2,2,11,3,4,2,2,3,,,,1,,,2,,,,,,,,,
HREC,2,2,12,4,4,2,1,3,2,,1,1,,,1,,,,,,,,,
HREC,2,2,13,5,4,3,2,2,1,,,2,,,,,,,,,,,,
HREC,2,2,14,6,4,2,2,3,1,,,1,,,,,,,,,,,,
HREC,2,2,15,7,4,2,3,2,1,2,,2,,,,,,,,,,,,
HREC,2,2,16,8,4,2,4,1,,2,2,2,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,Bare,GalPar,DaucPusil,LupBic,EroCic,LatSph,DicCap,,,,,,,,
HREC,2,2,1,1,1,2,4,,3,,,,,,,,,,,,,,,
HREC,2,2,2,2,1,2,2,2,,15,2,,,,,,,,,,,,,
HREC,2,2,3,3,1,2,2,3,,,1,,,,,,,,,,,,,
HREC,2,2,4,4,1,2,2,3,,2,1,,1,1,,,,,,,,,,
HREC,2,2,5,5,1,2,2,3,,,2,,,1,,,,,,,,,,
HREC,2,2,6,6,1,1,3,2,1,,1,2,1,1,,,,,,,,,,
HREC,2,2,7,7,1,1,3,3,,,,3,,,,,,,,,,,,
HREC,2,2,8,8,1,2,5,1,,,,1,,,,,,,,,,,,
HREC,2,2,9,1,2,2,4,,,,1,,,,,,,,,,,,,
HREC,2,2,10,2,2,2,2,3,,20,2,,,,1,,,,,,,,,
HREC,2,2,11,3,2,2,1,4,,3,,,,1,1,,,,,,,,,
HREC,2,2,12,4,2,1,2,3,,,2,,,,1,,,,,,,,,
HREC,2,2,13,5,2,2,2,3,,,1,1,,,,,,,,,,,,
HREC,2,2,14,6,2,2,2,3,2,,1,1,,1,,,,,,,,,,
HREC,2,2,15,7,2,2,3,2,,,1,1,,,,1,,,,,,,,
HREC,2,2,16,8,2,1,3,2,3,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,ClaPer,GalPar,LupBic,TriCupcake,CarPac,DaucPusil,ShieldSeed,,,,,,,,,
HREC,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,
HREC,2,1,2,2,1,2,1,,,,,,,,,,,,,,,,,
HREC,2,1,3,3,1,2,1,1,,,,,,,,,,,,,,,,
HREC,2,1,4,4,1,2,3,,,,,,,,,,,,,,,,,
HREC,2,1,5,5,1,2,3,3,2,2,,,,,,,,,,,,,,
HREC,2,1,6,6,1,2,3,2,1,,,,,,,,,,,,,,,
HREC,2,1,7,7,1,2,4,1,1,1,,,,,,,,,,,,,,
HREC,2,1,8,8,1,2,4,2,1,1,2,1,1,,,,,,,,,,,
HREC,2,1,9,1,2,3,2,,,,,,,,,,,,,,,,,
HREC,2,1,10,2,2,2,3,1,,1,,,,,,,,,,,,,,
HREC,2,1,11,3,2,2,4,2,,1,2,,,,,,,,,,,,,
HREC,2,1,12,4,2,2,3,2,,,2,,,,,,,,,,,,,
HREC,2,1,13,5,2,2,4,2,,,2,,,,,,,,,,,,,
HREC,2,1,14,6,2,2,3,3,,1,1,,2,,,,,,,,,,,
HREC,2,1,15,7,2,2,4,3,2,,1,,2,2,,,,,,,,,,
HREC,2,1,16,8,2,2,2,1,1,1,3,,2,3,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,ClaPer,GalPar,LupBic,CarPac,DaucPusil,EroCic,TriBif,LatSph,,,,,,,,
HREC,2,1,1,1,3,3,3,,,1,,,,,,,,,,,,,,
HREC,2,1,2,2,3,3,3,3,,1,,,,,,,,,,,,,,
HREC,2,1,3,3,3,2,2,3,,1,,,,,,,,,,,,,,
HREC,2,1,4,4,3,2,3,2,,,,2,,,,,,,,,,,,
HREC,2,1,5,5,3,2,4,1,1,1,,1,,,,,,,,,,,,
HREC,2,1,6,6,3,1,3,2,,1,,3,,,,,,,,,,,,
HREC,2,1,7,7,3,2,3,2,1,,,3,1,,,,,,,,,,,
HREC,2,1,8,8,3,1,2,3,,,1,2,1,,,,,,,,,,,
HREC,2,1,9,1,4,3,3,2,,1,,,2,1,,,,,,,,,,
HREC,2,1,10,2,4,2,2,3,,1,2,,,,,,,,,,,,,
HREC,2,1,11,3,4,2,2,3,,,1,,,,,,,,,,,,,
HREC,2,1,12,4,4,3,2,2,,2,2,,,,,,,,,,,,,
HREC,2,1,13,5,4,2,3,1,,,2,3,,,1,,,,,,,,,
HREC,2,1,14,6,4,2,2,3,,1,,3,1,,,,,,,,,,,
HREC,2,1,15,7,4,2,2,3,,,1,2,,,,1,,,,,,,,
HREC,2,1,16,8,4,3,3,2,,,,2,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,LupBic,DaucPusil,GalPar,Bare,EroCic,LatSph,TriCil,TriBif,,,,,,,
HREC,2,1,1,1,5,2,3,2,1,,,,,,,,,,,,,,,
HREC,2,1,2,2,5,2,2,2,1,,,,,,,,,,,,,,,
HREC,2,1,3,3,5,2,1,2,,2,2,1,,,,,,,,,,,,
HREC,2,1,4,4,5,3,2,2,,,,1,,,,,,,,,,,,
HREC,2,1,5,5,5,2,2,1,3,,,,,,,,,,,,,,,
HREC,2,1,6,6,5,2,1,1,3,,,1,5,,,,,,,,,,,
HREC,2,1,7,7,5,2,2,,3,,,1,,1,,,,,,,,,,
HREC,2,1,8,8,5,2,3,2,2,,2,,,,1,,,,,,,,,
HREC,2,1,9,1,6,3,3,,,2,1,,,1,,1,,,,,,,,
HREC,2,1,10,2,6,1,2,1,,1,1,,,1,,,,,,,,,,
HREC,2,1,11,3,6,3,2,1,,,1,,,,,,,,,,,,,
HREC,2,1,12,4,6,3,2,1,,,,,,1,,,,,,,,,,
HREC,2,1,13,5,6,3,3,2,2,,,,,1,,,,,,,,,,
HREC,2,1,14,6,6,2,2,3,3,,,1,4,,,,,,,,,,,
HREC,2,1,15,7,6,3,2,1,,1,,1,,,,,,,,,,,,
HREC,2,1,16,8,6,2,2,2,1,3,,,,,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,LupBic,DaucPusil,GalPar,Bare,LatSph,Wood,EroCic,TriCil,,,,,,,
HREC,2,1,1,1,7,2,2,1,,,,,,,,,,,,,,,,
HREC,2,1,2,2,7,2,1,2,,,,,,,,,,,,,,,,
HREC,2,1,3,3,7,2,2,2,,,1,,,,,,,,,,,,,
HREC,2,1,4,4,7,3,3,3,,,1,1,,,,,,,,,,,,
HREC,2,1,5,5,7,2,1,2,,,1,1,3,,,,,,,,,,,
HREC,2,1,6,6,7,2,,4,,,,1,,,,,,,,,,,,
HREC,2,1,7,7,7,2,2,3,,2,,,15,1,15,,,,,,,,,
HREC,2,1,8,8,7,2,2,2,2,2,,,,1,,,,,,,,,,
HREC,2,1,9,1,8,1,2,2,,2,,,,,,,,,,,,,,
