SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,2,1,10,2,8,1,1,3,,,,1,,,,,,,,,,,,
HREC,2,1,11,3,8,2,2,2,2,2,,1,,,,1,,,,,,,,
HREC,2,1,12,4,8,2,2,1,,2,1,,,,,,,,,,,,,
HREC,2,1,13,5,8,1,2,1,,,2,,,,,,,,,,,,,
HREC,2,1,14,6,8,2,2,3,2,2,1,,,,,,1,,,,,,,
HREC,2,1,15,7,8,2,1,3,,,,,,,,,,,,,,,,
HREC,2,1,16,8,8,2,2,2,,1,,1,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,GalPar,AgoHet,SanBip,LupBic,Bare,LatSph,AnaArv,DicCap,EroCic,LotMic,Torilis,HypGla,,,,,,
HREC,3,1,1,1,1,2,1,6,,,,,,,,,,,,,,,,
HREC,3,1,2,2,1,2,1,6,2,,,,,,,,,,,,,,,
HREC,3,1,3,3,1,2,1,6,,2,3,1,1,,,,,,,,,,,
HREC,3,1,4,4,1,2,1,6,2,1,,,1,,,,,,,,,,,
HREC,3,1,5,5,1,3,,6,,1,,,,,,,,,,,,,,
HREC,3,1,6,6,1,1,1,3,,,,,,,,,,,,,,,,
HREC,3,1,7,7,1,2,1,5,,2,,,,,,,,,,,,,,
HREC,3,1,8,8,1,2,1,6,,3,5,,,,,,,,,,,,,
HREC,3,1,9,1,2,3,,6,,,,,1,2,1,1,,,,,,,,
HREC,3,1,10,2,2,2,,6,,1,,,1,,,1,,,,,,,,
HREC,3,1,11,3,2,2,,6,,2,,,1,,,,,,,,,,,
HREC,3,1,12,4,2,2,1,6,,1,,,,1,1,,,,,,,,,
HREC,3,1,13,5,2,3,,5,,2,,,,,,1,,,,,,,,
HREC,3,1,14,6,2,2,,6,,2,,,1,,,,1,,,,,,,
HREC,3,1,15,7,2,2,,7,2,2,,,,1,,,,,,,,,,
HREC,3,1,16,8,2,2,,6,2,2,,,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,GalPar,AgoHet,LupBic,LotMic,Bare,SanBip,EroCic,LatSph,AnaArv,DicCap,CarPac,GerMol,MicCal,White Owl-Clover,HypGla,SisBel,,
HREC,3,1,1,1,3,2,1,6,2,2,3,2,1,1,,,,,,,,,,
HREC,3,1,2,2,3,2,,7,1,2,,,1,,1,,,,,,,,,
HREC,3,1,3,3,3,3,,7,2,,,,,,,,,,,,,,,
HREC,3,1,4,4,3,2,1,6,,,,,,,,1,,,,,,,,
HREC,3,1,5,5,3,3,1,6,2,,,,1,,,1,1,,,,,,,
HREC,3,1,6,6,3,2,1,5,4,1,,,1,,1,1,,,,,,,,
HREC,3,1,7,7,3,2,1,5,2,,,,,,,,,,,,,,,
HREC,3,1,8,8,3,4,1,6,,,,,,,,,,,,,,,,
HREC,3,1,9,1,4,2,,5,,,5,2,,,1,,,2,,,,,,
HREC,3,1,10,2,4,4,,6,1,,,,1,,,,,,2,,,,,
HREC,3,1,11,3,4,2,,5,2,,,,,1,,2,,1,,,,,,
HREC,3,1,12,4,4,4,1,6,3,,,,,1,,,,,1,1,,,,
HREC,3,1,13,5,4,2,,5,2,,,,,,1,,,,,,,,,
HREC,3,1,14,6,4,2,1,5,1,,,3,,,,2,,,,,1,,,
HREC,3,1,15,7,4,2,,6,2,,,,1,,1,,,,1,1,,2,,
HREC,3,1,16,8,4,2,2,7,2,,,,,,1,2,,,,1,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,LupBic,GalPar,Bare,MicCal,SanBip,AnaArv,DicCap,EroCic,HypGla,Torilis,GerMol,SisBel,TriCupcake,LatSph,,,
HREC,3,1,1,1,5,2,2,2,,,2,2,1,,,5,,,,,,,,
HREC,3,1,2,2,5,3,3,2,,,,1,2,1,1,5,,,,,,,,
HREC,3,1,3,3,5,4,3,2,1,2,,,,1,,5,,,,,,,,
HREC,3,1,4,4,5,4,2,1,1,,,,,2,,5,1,,,,,,,
HREC,3,1,5,5,5,4,3,2,1,,,,1,,,5,,1,,,,,,
HREC,3,1,6,6,5,2,2,,1,,,,,1,1,3,,,,,,,,
HREC,3,1,7,7,5,3,5,,2,,,2,,,,3,,,1,1,,,,
HREC,3,1,8,8,5,2,5,,,,1,,,1,1,2,,,,1,,,,
HREC,3,1,9,1,6,3,2,2,1,,1,,1,2,1,4,,,,,2,,,
HREC,3,1,10,2,6,3,3,1,,,,,,1,1,4,2,,,,,,,
HREC,3,1,11,3,6,4,3,2,,3,,,1,,,5,,,,,,,,
HREC,3,1,12,4,6,4,2,1,2,4,,,1,2,,5,,,,,,,,
HREC,3,1,13,5,6,4,2,1,,,,,,1,1,4,,,,,,,,
HREC,3,1,14,6,6,3,5,2,1,,,,,1,1,4,,,,,,,,
HREC,3,1,15,7,6,2,4,1,1,,,,,2,,4,,,,1,,,,
HREC,3,1,16,8,6,2,5,1,,,,2,1,,,3,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,HypGla,GalPar,LupBic,DicCap,SanBip,Bare,Torilis,GerMol,MicCal,LatSph,TriCupcake,EroCic,AnaArv,,,,
HREC,3,1,1,1,7,3,3,4,1,2,,,,1,1,2,,,,,,,,
HREC,3,1,2,2,7,4,3,4,,2,2,,,,,2,,,,,,,,
HREC,3,1,3,3,7,3,2,5,,3,,2,5,,,,2,1,1,,,,,
HREC,3,1,4,4,7,4,2,4,,3,,2,,,,,1,,1,,,,,
HREC,3,1,5,5,7,4,1,3,,3,,,,,,1,,,,1,,,,
HREC,3,1,6,6,7,4,2,4,1,0,2,,,,,,,1,,,,,,
HREC,3,1,7,7,7,3,3,4,2,3,2,,,,,,,,,,,,,
HREC,3,1,8,8,7,2,5,3,1,3,,2,,,,,,,,,,,,
HREC,3,1,9,1,8,3,2,4,2,1,1,,,1,,,,,,1,,,,
HREC,3,1,10,2,8,4,2,5,1,2,,2,,,,,,,,,,,,
HREC,3,1,11,3,8,4,2,5,2,3,,,2,,,,,,,,,,,
HREC,3,1,12,4,8,4,1,5,1,1,,2,,1,1,,1,,,,,,,
HREC,3,1,13,5,8,5,2,4,2,1,,2,,,,,,,,,,,,
HREC,3,1,14,6,8,3,2,4,1,1,1,2,,,,,,,,,,,,
HREC,3,1,15,7,8,2,3,3,1,1,2,2,,,,,1,1,,,,,,
HREC,3,1,16,8,8,3,4,3,1,3,,,,,,,,,,1,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,HypGla,LupBic,GalPar,Bare,MicCal,SanBip,EroCic,MicCal,DicCap,GerMol,Torilis,LotMic,TriCil,SisBel,AnaArv,,
HREC,3,2,1,1,1,4,1,5,1,,20,,1,,,,,,,,,,,
HREC,3,2,2,2,1,4,1,4,,,,,2,,,,,,,,,,,
HREC,3,2,3,3,1,4,1,4,,,,,,1,1,,,,,,,,,
HREC,3,2,4,4,1,2,1,6,,,,,,,2,1,1,,,,,,,
HREC,3,2,5,5,1,3,,3,,,,,,,,1,,,,,,,,
HREC,3,2,6,6,1,2,2,5,,1,5,,1,,,,,,,,,,,
HREC,3,2,7,7,1,2,3,5,,,,1,,,1,1,,2,1,,,,,
HREC,3,2,8,8,1,3,2,5,,,,,,,1,,1,,,1,,,,
HREC,3,2,9,1,2,4,2,5,2,1,4,,1,1,,1,,,,,,,,
HREC,3,2,10,2,2,3,1,5,2,,10,,,,1,,,,,,,,,
HREC,3,2,11,3,2,3,1,4,,,10,,1,,,,,,,,,,,
HREC,3,2,12,4,2,2,,4,1,,,,1,,3,1,,,,,,,,
HREC,3,2,13,5,2,2,4,2,,,,,,,2,1,,,,,,,,
HREC,3,2,14,6,2,3,3,4,1,,1,,,,,,,,,,,,,
HREC,3,2,15,7,2,4,2,5,,,,,1,,,2,,,,,2,,,
HREC,3,2,16,8,2,2,0,5,1,,,,2,,,,,,,,3,2,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,HypGla,LupBic,GalPar,DicCap,MicCal,SanBip,Bare,EroCic,SisBel,WhiteOwlClover,,,,,,,
HREC,3,2,1,1,3,4,3,5,,,2,,,,,,,,,,,,,
HREC,3,2,2,2,3,3,2,6,2,,1,1,,,,,,,,,,,,
HREC,3,2,3,3,3,4,,5,,1,1,2,,,,,,,,,,,,
HREC,3,2,4,4,3,4,2,4,,,,,2,,,,,,,,,,,
HREC,3,2,5,5,3,4,2,3,,,,,,,,,,,,,,,,
HREC,3,2,6,6,3,3,,3,,,1,2,,3,,,,,,,,,,
HREC,3,2,7,7,3,3,3,3,,,,,2,,,,,,,,,,,
HREC,3,2,8,8,3,3,5,3,,,,,,,,,,,,,,,,
HREC,3,2,9,1,4,3,3,5,,1,2,,2,,1,,,,,,,,,
HREC,3,2,10,2,4,3,3,5,1,,,,,,,,,,,,,,,
HREC,3,2,11,3,4,4,2,5,2,,2,4,,,,,,,,,,,,
HREC,3,2,12,4,4,4,5,2,,1,1,2,,,,,,,,,,,,
HREC,3,2,13,5,4,3,2,3,,,,2,,,,,,,,,,,,
HREC,3,2,14,6,4,2,2,5,1,,,,,,,3,1,,,,,,,
HREC,3,2,15,7,4,2,3,5,1,,,1,,,,,,,,,,,,
HREC,3,2,16,8,4,2,3,5,,,,2,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,HypGla,LupBic,GalPar,DicCap,MicCal,Bare,WhiteOwlClover,SanBip,LotMic,EroCic,SisBel,Rock,Torilis,GerMol,,,
HREC,3,2,1,1,5,3,5,2,1,,,,4,1,,,,,,,,,,
HREC,3,2,2,2,5,3,4,3,,,,,,,1,,,,,,,,,
HREC,3,2,3,3,5,4,5,3,1,,,,,,,,,,,,,,,
HREC,3,2,4,4,5,5,4,2,,,,1,,,,,,,,,,,,
HREC,3,2,5,5,5,3,6,2,,,,,,1,,,,,,,,,,
HREC,3,2,6,6,5,3,4,3,,,,,,1,,1,1,,,,,,,
HREC,3,2,7,7,5,3,3,4,,,,3,,,,,,,,,,,,
HREC,3,2,8,8,5,3,5,3,2,1,,,4,,,,,2,4,,,,,
HREC,3,2,9,1,6,4,3,4,2,,,,,,2,,,,,,,,,
HREC,3,2,10,2,6,4,3,5,,,,,,,,,,,,,,,,
HREC,3,2,11,3,6,4,2,4,,,,,,,,,,,,,,,,
HREC,3,2,12,4,6,4,5,2,,1,1,,,,,,,,,,,,,
HREC,3,2,13,5,6,3,4,3,,,,,,,,,,,,,,,,
HREC,3,2,14,6,6,2,6,3,1,,2,1,,,,,,,,,,,,
HREC,3,2,15,7,6,3,6,3,,,,,,,,,,2,,1,,,,
HREC,3,2,16,8,6,2,6,2,1,,2,2,,,,,,,,,1,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,DaucPusil,AgoHet,HypGla,LupBic,Bare,GalPar,SanBip,DicCap,Rock,LotMic,LatSph,MicCal,,,,,,,
HREC,3,2,1,1,7,4,1,5,1,,,1,,,,,,,,,,,,
HREC,3,2,2,2,7,4,,5,2,,,,1,,,,,,,,,,,
HREC,3,2,3,3,7,4,1,4,2,2,4,1,,2,,,,,,,,,,
HREC,3,2,4,4,7,3,,5,2,,,,,,,,,,,,,,,
HREC,3,2,5,5,7,3,2,5,1,,,,,,,,,,,,,,,
HREC,3,2,6,6,7,2,3,4,1,,,,,,,,,,,,,,,
HREC,3,2,7,7,7,2,3,4,2,3,,,,,,,,,,,,,,
HREC,3,2,8,8,7,4,2,5,,,,,,,2,,,,,,,,,
HREC,3,2,9,1,8,4,2,6,,,,,,,,,,,,,,,,
HREC,3,2,10,2,8,4,1,5,1,,,,,,,1,,,,,,,,
HREC,3,2,11,3,8,3,1,5,,,,,,,,,2,,,,,,,
HREC,3,2,12,4,8,4,2,5,2,,,,2,,,,,,,,,,,
HREC,3,2,13,5,8,4,5,3,,,,,2,,,,,,,,,,,
HREC,3,2,14,6,8,3,2,5,1,,,,,,,,,,,,,,,
HREC,3,2,15,7,8,2,5,3,2,,1,,,,,,,,,,,,,
HREC,3,2,16,8,8,4,5,3,2,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,GalPar,Bare,LupBic,DicCap,TriBif,GerMol,,,,,,,,,,
HREC,4,1,1,1,1,4,3,,,40,,,,,,,,,,,,,,
HREC,4,1,2,2,1,4,2,,,30,2,,,,,,,,,,,,,
HREC,4,1,3,3,1,4,1,1,,,2,,,,,,,,,,,,,
HREC,4,1,4,4,1,3,2,,,8,1,2,,,,,,,,,,,,
HREC,4,1,5,5,1,3,2,2,,40,,,,,,,,,,,,,,
HREC,4,1,6,6,1,3,,1,,50,2,,,,,,,,,,,,,
HREC,4,1,7,7,1,4,,,,,1,1,,,,,,,,,,,,
HREC,4,1,8,8,1,4,3,1,,,2,,,,,,,,,,,,,
HREC,4,1,9,1,2,4,3,1,,40,1,,,,,,,,,,,,,
HREC,4,1,10,2,2,2,2,,,25,,,,,,,,,,,,,,
HREC,4,1,11,3,2,4,2,,,70,1,,,,,,,,,,,,,
HREC,4,1,12,4,2,4,,,,20,1,,,,,,,,,,,,,
HREC,4,1,13,5,2,4,2,,,20,1,,1,,,,,,,,,,,
HREC,4,1,14,6,2,4,2,1,,10,2,1,,1,,,,,,,,,,
HREC,4,1,15,7,2,4,,1,,8,2,,,1,,,,,,,,,,
HREC,4,1,16,8,2,4,1,1,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,Bare,LupBic,DicCap,GerMol,TriBif,,,,,,,,,,,
HREC,4,1,1,1,3,0,4,2,10,3,,,,,,,,,,,,,,
HREC,4,1,2,2,3,3,3,2,8,,,,,,,,,,,,,,,
HREC,4,1,3,3,3,2,2,1,25,2,,,,,,,,,,,,,,
HREC,4,1,4,4,3,1,2,1,5,,,,,,,,,,,,,,,
HREC,4,1,5,5,3,4,1,1,,2,,,,,,,,,,,,,,
HREC,4,1,6,6,3,4,2,2,7,3,,,,,,,,,,,,,,
HREC,4,1,7,7,3,3,,,80,2,,,,,,,,,,,,,,
HREC,4,1,8,8,3,3,,,,,,,,,,,,,,,,,,
HREC,4,1,9,1,4,2,3,1,10,2,,,,,,,,,,,,,,
HREC,4,1,10,2,4,,,,30,3,,,,,,,,,,,,,,
HREC,4,1,11,3,4,1,,1,50,,,,,,,,,,,,,,,
HREC,4,1,12,4,4,,,,8,,,,,,,,,,,,,,,
HREC,4,1,13,5,4,2,1,1,,1,,,,,,,,,,,,,,
HREC,4,1,14,6,4,2,,1,4,3,,,,,,,,,,,,,,
HREC,4,1,15,7,4,2,1,,4,1,,,,,,,,,,,,,,
HREC,4,1,16,8,4,4,2,,7,2,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,Bare,LupBic,DicCap,GerMol,,,,,,,,,,,,
HREC,4,1,1,1,5,,2,2,,4,,,,,,,,,,,,,,
HREC,4,1,2,2,5,1,1,,15,2,,1,,,,,,,,,,,,
HREC,4,1,3,3,5,1,,,1,2,,,,,,,,,,,,,,
HREC,4,1,4,4,5,,,,3,,,,,,,,,,,,,,,
HREC,4,1,5,5,5,,,,,,,,,,,,,,,,,,,
HREC,4,1,6,6,5,,,,15,,,,,,,,,,,,,,,
HREC,4,1,7,7,5,,1,,,1,,,,,,,,,,,,,,
HREC,4,1,8,8,5,,1,,,,,,,,,,,,,,,,,
HREC,4,1,9,1,6,,4,1,2,3,,1,,,,,,,,,,,,
HREC,4,1,10,2,6,,3,,4,3,,,,,,,,,,,,,,
HREC,4,1,11,3,6,,1,1,15,2,,,,,,,,,,,,,,
HREC,4,1,12,4,6,,,1,12,1,,,,,,,,,,,,,,
HREC,4,1,13,5,6,,,1,,,,,,,,,,,,,,,,
HREC,4,1,14,6,6,,,,,,,,,,,,,,,,,,,
HREC,4,1,15,7,6,,,,,,,,,,,,,,,,,,,
HREC,4,1,16,8,6,,,,,1,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,LupBic,Bare,GalPar,GerMol,TriBif,DicCap,Rock,Pink Cup Opposite,,,,,,,,
HREC,4,1,1,1,7,,3,1,2,60,,,,,,,,,,,,,,
HREC,4,1,2,2,7,,2,1,1,,,,,,,,,,,,,,,
HREC,4,1,3,3,7,2,1,,,10,,,,,,,,,,,,,,
HREC,4,1,4,4,7,,,,,2,,,,,,,,,,,,,,
HREC,4,1,5,5,7,,,,,5,1,,,,,,,,,,,,,
HREC,4,1,6,6,7,,,2,,,1,,,,,,,,,,,,,
HREC,4,1,7,7,7,,2,2,,,,1,,,,,,,,,,,,
HREC,4,1,8,8,7,,,,,,,,,,,,,,,,,,,
HREC,4,1,9,1,8,,3,1,2,,1,,1,,,,,,,,,,,
HREC,4,1,10,2,8,,2,,2,50,,,1,,,,,,,,,,,
HREC,4,1,11,3,8,,1,1,2,30,,1,,,,,,,,,,,,
HREC,4,1,12,4,8,1,,1,2,10,,,1,1,,,,,,,,,,
HREC,4,1,13,5,8,,1,,,3,1,,,,3,,,,,,,,,
HREC,4,1,14,6,8,,1,,,,,,,,,,,,,,,,,
HREC,4,1,15,7,8,,,,,,1,,,,,,,,,,,,,
HREC,4,1,16,8,8,,,1,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,LupBic,Bare,GalPar,TriBif,LatSph,TriAlbo,GerMol,DicCap,,,,,,,,
HREC,4,2,1,1,1,4,2,,2,,,1,,,,,,,,,,,,
HREC,4,2,2,2,1,5,2,,2,,,,,,,,,,,,,,,
HREC,4,2,3,3,1,4,2,1,2,,,,,,,,,,,,,,,
HREC,4,2,4,4,1,4,,1,2,,,2,,,,,,,,,,,,
HREC,4,2,5,5,1,3,2,,,,,1,,,,,,,,,,,,
HREC,4,2,6,6,1,4,1,1,,,,,1,,,,,,,,,,,
HREC,4,2,7,7,1,4,1,1,,,,,,,,,,,,,,,,
HREC,4,2,8,8,1,4,1,,,,,,,1,,,,,,,,,,
HREC,4,2,9,1,2,5,2,1,2,,,1,,,,,,,,,,,,
HREC,4,2,10,2,2,5,3,1,3,,,,,,1,,,,,,,,,
HREC,4,2,11,3,2,3,1,1,,,,,,,,1,,,,,,,,
HREC,4,2,12,4,2,4,1,1,2,,,,,,,,,,,,,,,
HREC,4,2,13,5,2,4,1,1,,,,,,,,1,,,,,,,,
HREC,4,2,14,6,2,4,1,1,,,,,,,,,,,,,,,,
HREC,4,2,15,7,2,4,,1,,,1,1,,,1,,,,,,,,,
HREC,4,2,16,8,2,2,,1,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,LupBic,Bare,GerMol,DicCap,TriAlbo,GalPar,RanCal,SanBip,,,,,,,,
HREC,4,2,1,1,3,2,2,2,2,,,,,,,,,,,,,,,
HREC,4,2,2,2,3,3,2,2,2,,,,,,,,,,,,,,,
HREC,4,2,3,3,3,4,2,1,3,,1,,,,,,,,,,,,,
HREC,4,2,4,4,3,1,2,2,,,,1,,,,,,,,,,,,
HREC,4,2,5,5,3,4,2,1,2,,,,,,,,,,,,,,,
HREC,4,2,6,6,3,3,1,2,2,,2,,,,,,,,,,,,,
HREC,4,2,7,7,3,2,,2,,,,,,,,,,,,,,,,
HREC,4,2,8,8,3,2,,1,,,,,,,,,,,,,,,,
HREC,4,2,9,1,4,4,2,1,2,5,,1,,,,,,,,,,,,
HREC,4,2,10,2,4,3,,,,,,,1,,,,,,,,,,,
HREC,4,2,11,3,4,,,1,2,,2,,,1,,,,,,,,,,
HREC,4,2,12,4,4,3,1,,2,,1,,,,,,,,,,,,,
HREC,4,2,13,5,4,3,,,,,,,,,2,2,,,,,,,,
HREC,4,2,14,6,4,,,1,,,,,,,2,2,,,,,,,,
HREC,4,2,15,7,4,,,1,,,,,,,,,,,,,,,,
HREC,4,2,16,8,4,,,1,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,LupBic,Bare,GerMol,GalPar,TriAlbo,RanCal (NO SAN BIP IN THIS PLOT?),TriCupcake,DicCap,,,,,,,,
HREC,4,2,1,1,5,2,,,2,4,,1,,,,,,,,,,,,
HREC,4,2,2,2,5,,,,2,,,,1,,,,,,,,,,,
HREC,4,2,3,3,5,,,,1,,,,,1,,,,,,,,,,
HREC,4,2,4,4,5,,,,,,,,,2,,,,,,,,,,
HREC,4,2,5,5,5,,,,,,,,,3,,,,,,,,,,
HREC,4,2,6,6,5,,,1,2,,,,,,,,,,,,,,,
HREC,4,2,7,7,5,,,2,,,,,,,,,,,,,,,,
HREC,4,2,8,8,5,,,2,,,,,,2,,,,,,,,,,
HREC,4,2,9,1,6,,,1,,,,,,,,,,,,,,,,
HREC,4,2,10,2,6,,1,2,2,,,,,,1,,,,,,,,,
HREC,4,2,11,3,6,,,,,,,,,,,,,,,,,,,
HREC,4,2,12,4,6,,,2,,,,,,,,2,,,,,,,,
HREC,4,2,13,5,6,,1,,,,1,,,,,,,,,,,,,
HREC,4,2,14,6,6,,2,1,,,1,1,,2,,,,,,,,,,
HREC,4,2,15,7,6,,,1,,,1,,,2,,,,,,,,,,
HREC,4,2,16,8,6,,,1,1,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,MicCal,DaucPusil,Torilis,LupBic,Bare,RanCal,GerMol,LatSph,Pink Opposite Leaves,VicSat,ClaPer,,,,,,,,
HREC,4,2,1,1,7,,1,,2,,,1,,,,,,,,,,,,
HREC,4,2,2,2,7,,,,,,,1,,,,,,,,,,,,
HREC,4,2,3,3,7,,,1,,,,,,,,,,,,,,,,
HREC,4,2,4,4,7,,,1,,,1,,,,,,,,,,,,,
HREC,4,2,5,5,7,,,2,,,2,,,,,,,,,,,,,
HREC,4,2,6,6,7,,1,1,,,,,,,,,,,,,,,,
HREC,4,2,7,7,7,,1,1,,,1,,2,,,,,,,,,,,
HREC,4,2,8,8,7,,,1,,,3,,,,,,,,,,,,,
HREC,4,2,9,1,8,,,1,2,,,,,,,,,,,,,,,
HREC,4,2,10,2,8,,,1,,,2,,,,,,,,,,,,,
HREC,4,2,11,3,8,,,2,2,,,1,,,,,,,,,,,,
HREC,4,2,12,4,8,,1,2,,,,,1,,,,,,,,,,,
HREC,4,2,13,5,8,,,2,,,2,,,,,,,,,,,,,
HREC,4,2,14,6,8,,1,1,,,3,1,,2,,,,,,,,,,
HREC,4,2,15,7,8,,1,2,,,3,,,,,,,,,,,,,
HREC,4,2,16,8,8,,2,2,,,3,,,,2,1,,,,,,,,
