SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,TaeCap,CarPac,Torilis,GalPar,ElyGla,Lagophylla,VicSat,BroMad,VulMyu,CroSet,CynEch,WhiteGlume,AveBar,ClaPur,,,,,,,,,,,,
SFREC,1,1,1,1,1,4,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,1,3,3,3,4,3,,,3,2,3,,,,,,,,,,,,,,,,,,,
SFREC,1,1,3,3,1,3,4,3,4,2,2,,,2,2,2,1,,,,,,,,,,,,,,,,,
SFREC,1,1,4,4,1,4,3,3,4,,2,,3,,2,2,,,,,,,,,,,,,,,,,,
SFREC,1,1,5,5,1,4,3,3,4,2,3,,,,2,2,1,,,,,,,,,,,,,,,,,
SFREC,1,1,6,6,1,5,3,3,3,3,2,1,,,2,2,,1,,,,,,,,,,,,,,,,
SFREC,1,1,7,7,1,4,3,2,3,3,,1,3,,2,3,2,,1,,,,,,,,,,,,,,,
SFREC,1,1,8,8,1,4,2,2,1,3,4,,4,2,2,2,,,2,2,,,,,,,,,,,,,,
SFREC,1,1,9,1,2,4,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,10,2,2,4,2,3,4,2,3,,,2,1,2,,,1,,,,,,,,,,,,,,,
SFREC,1,1,11,3,2,5,3,3,2,,3,1,,3,,2,,,2,,,,,,,,,,,,,,,
SFREC,1,1,12,4,2,5,3,3,2,,3,,3,3,,3,,,2,,,,,,,,,,,,,,,
SFREC,1,1,13,5,2,4,3,2,3,1,2,,2,,3,4,,,2,,2,,,,,,,,,,,,,
SFREC,1,1,14,6,2,4,2,2,2,,3,1,3,,2,2,,,,,,2,,,,,,,,,,,,
SFREC,1,1,15,7,2,3,3,2,3,,3,,2,,2,2,,1,,,,,,,,,,,,,,,,
SFREC,1,1,16,8,2,4,3,2,2,2,4,1,,,2,1,,,1,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,TriHir,ClaPur,GalPar,Bare,PetDub,,,,,,,,,,,,
SFREC,1,1,1,1,3,3,2,2,,2,2,,1,4,2,,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,3,1,2,,1,1,2,,1,4,1,2,3,1,1,,,,,,,,,,,,,,,
SFREC,1,1,3,3,3,1,2,,2,3,,,2,4,3,,4,,,1,,,,,,,,,,,,,,
SFREC,1,1,4,4,3,1,2,,3,3,3,2,1,3,1,,3,,,,,,,,,,,,,,,,,
SFREC,1,1,5,5,3,1,2,2,3,4,2,,2,3,,,,,,1,,,,,,,,,,,,,,
SFREC,1,1,6,6,3,3,2,2,3,4,3,,,3,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,7,7,3,2,2,2,2,2,3,,1,4,,,,,2,1,,,,,,,,,,,,,,
SFREC,1,1,8,8,3,3,2,2,3,3,2,,,4,,3,,,,,10,,,,,,,,,,,,,
SFREC,1,1,9,1,4,4,3,2,,2,4,,,3,3,,2,,,,,1,,,,,,,,,,,,
SFREC,1,1,10,2,4,3,2,1,,,,,2,3,3,,2,,,1,,,,,,,,,,,,,,
SFREC,1,1,11,3,4,2,3,,,3,,,,3,4,,4,,,1,,1,,,,,,,,,,,,
SFREC,1,1,12,4,4,1,2,,2,4,2,,1,2,,2,3,,1,1,,,,,,,,,,,,,,
SFREC,1,1,13,5,4,1,1,1,2,5,,,1,,,2,2,,,,,,,,,,,,,,,,,
SFREC,1,1,14,6,4,2,2,3,1,4,3,,1,3,,2,,,,1,,,,,,,,,,,,,,
SFREC,1,1,15,7,4,0,4,2,1,4,,3,,3,,2,2,,2,,,,,,,,,,,,,,,
SFREC,1,1,16,8,4,2,2,,,3,,2,,4,,2,2,,1,2,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,Torilis,CarPac,VicSat,Lagophylla,CynEch,GalPar,TriHir,ClaPur,UnkTar,SheArv,MadGra,NavPub,TriHya,WhiteRib,,,,,,,,
SFREC,1,1,1,1,5,3,1,2,2,,4,,2,,2,3,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,5,3,4,,,,1,,3,1,,,1,2,2,,,,,,,,,,,,,,,
SFREC,1,1,3,3,5,2,3,,2,3,,1,4,2,,3,,,,1,2,,,,,,,,,,,,,
SFREC,1,1,4,4,5,1,3,,3,5,,4,1,1,1,,,,,,,1,,,,,,,,,,,,
SFREC,1,1,5,5,5,2,2,,3,4,3,,3,3,,,2,,1,,,,,,,,,,,,,,,
SFREC,1,1,6,6,5,2,3,,3,4,,,3,,,3,,1,,,,,1,,,,,,,,,,,
SFREC,1,1,7,7,5,2,3,,2,4,,,3,2,,2,,,1,1,,,,1,,,,,,,,,,
SFREC,1,1,8,8,5,,3,,3,3,,2,3,3,2,2,2,,,2,,,,,,,,,,,,,,
SFREC,1,1,9,1,6,4,2,,3,,,,2,,,3,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,10,2,6,3,3,,2,,,2,2,3,1,3,2,1,,2,,,,,,,,,,,,,,
SFREC,1,1,11,3,6,1,2,,4,3,,,2,,,3,2,,,,,,1,,,1,,,,,,,,
SFREC,1,1,12,4,6,2,2,,5,3,,,1,1,,2,2,,,,1,,,,,,,,,,,,,
SFREC,1,1,13,5,6,2,2,,4,5,,,1,,1,,,,,,,,,,,,,,,,,,,
SFREC,1,1,14,6,6,3,2,,5,3,,,,,2,,,,,,,,,,,,,,,,,,,
SFREC,1,1,15,7,6,3,3,,5,1,,,2,1,,2,1,,,2,,,,,,,,,,,,,,
SFREC,1,1,16,8,6,2,2,,3,5,,,1,2,2,,,,,,,,,1,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,GalPar,BriMin,ClaPur,TriHir,UnKTar,CerGlo,PetDub,SheArv,,,,,,,,,
SFREC,1,1,1,1,7,1,2,,4,2,,,2,3,,2,3,2,1,1,,,,,,,,,,,,,,
SFREC,1,1,2,2,7,1,2,,3,2,,,2,3,3,,3,1,,2,,,,,,,,,,,,,,
SFREC,1,1,3,3,7,1,2,,3,2,,1,2,2,,,,,,,1,2,,,,,,,,,,,,
SFREC,1,1,4,4,7,1,2,1,5,3,,,2,,,,,,,,,,2,1,,,,,,,,,,
SFREC,1,1,5,5,7,2,2,,5,3,,,2,1,2,,,,1,,,,,,,,,,,,,,,
SFREC,1,1,6,6,7,2,2,,5,3,,,1,2,4,2,,,,,,,,,,,,,,,,,,
SFREC,1,1,7,7,7,2,2,,5,3,,,,2,3,,2,2,,1,,,,,,,,,,,,,,
SFREC,1,1,8,8,7,2,1,,3,2,3,,1,3,3,,,,,,,,,,,,,,,,,,,
SFREC,1,1,9,1,8,1,1,,5,1,1,,2,2,,,1,1,,,,,,,,,,,,,,,,
SFREC,1,1,10,2,8,2,2,,5,2,1,,2,2,,,,,,1,,,2,,,,,,,,,,,
SFREC,1,1,11,3,8,1,2,,4,2,,2,2,2,3,,,,,,,1,1,,,,,,,,,,,
SFREC,1,1,12,4,8,2,1,,4,2,,3,2,2,1,,2,,2,,,,1,,,,,,,,,,,
SFREC,1,1,13,5,8,2,1,,5,2,,2,1,2,,,3,1,,,,2,1,,,,,,,,,,,
SFREC,1,1,14,6,8,2,1,,5,2,,,2,3,1,,,,,,,,2,,,,,,,,,,,
SFREC,1,1,15,7,8,1,2,,4,1,1,,2,2,2,,3,,,,,,,1,,,,,,,,,,
SFREC,1,1,16,8,8,2,2,,4,2,,,2,3,,,2,,,,,,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,AveBar,GalPar,WhiteRib,BriMin,ClaPur,MadGra,CerGlo,LolMul,CroSet,DicCap,SheArv,Bare,TriHir,NavPub,PetDub,AirCar,
SFREC,1,2,1,1,1,2,2,5,2,2,2,,1,3,2,1,,,,,,,,,,,,,,,,,,
SFREC,1,2,2,2,1,2,2,4,2,2,3,,1,2,2,2,2,,,,,,,,,,,,,,,,,
SFREC,1,2,3,3,1,3,2,3,3,0,4,,,,4,1,,1,1,1,,,,,,,,,,,,,,
SFREC,1,2,4,4,1,3,2,5,2,2,,,1,1,3,2,,,1,1,,,,,,,,,,,,,,
SFREC,1,2,5,5,1,2,2,4,2,1,,,1,3,2,3,4,1,1,,2,1,1,,,,,,,,,,,
SFREC,1,2,6,6,1,2,2,4,1,3,,,1,3,2,2,,,2,,1,,,1,,,,,,,,,,
SFREC,1,2,7,7,1,3,3,4,,2,2,,1,2,0,1,3,,1,,,,,,1,2,1,1,,,,,,
SFREC,1,2,8,8,1,3,3,4,2,2,,,1,3,3,2,2,,1,,1,2,,,,,,,,,,,,
SFREC,1,2,9,1,2,3,2,3,2,3,,2,2,3,0,2,3,,1,2,,1,,,,1,,,30,1,,,,
SFREC,1,2,10,2,2,3,2,3,2,1,,1,2,2,3,2,2,,1,2,,,2,,,,,1,,,2,1,,
SFREC,1,2,11,3,2,4,3,2,2,2,3,,1,2,2,2,2,,1,,,,,,,,,,,,,,,
SFREC,1,2,12,4,2,2,2,2,4,2,3,,1,2,3,2,4,,1,,,,1,,,,,,,,,,1,
SFREC,1,2,13,5,2,3,2,2,4,3,3,1,1,2,2,2,2,,2,,,,,,,,,,,,,,,
SFREC,1,2,14,6,2,2,2,,4,1,3,1,2,3,1,2,2,1,1,1,1,,,,,1,,,15,1,,,,
SFREC,1,2,15,7,2,2,2,,4,3,0,,,2,,2,2,2,1,1,,,,,,,,,,,,,,
SFREC,1,2,16,8,2,3,2,2,3,2,,,1,2,,2,2,,1,1,,3,,,,2,,,30,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,ClaPur,GalPar,NavPub,BriMin,CroSet,SheArv,AveBar,AirCar,Bare,Lomatium,WhiteRib,TriDub,TriHir,DaucPusil,PetDub,DicCap,
SFREC,1,2,1,1,3,2,3,2,2,3,,,3,1,2,2,2,2,1,,,,,,,,,,,,,,,
SFREC,1,2,2,2,3,2,2,1,4,2,,,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,
SFREC,1,2,3,3,3,2,2,1,4,2,,,2,2,,2,3,1,2,,,,,,,,,,,,,,,
SFREC,1,2,4,4,3,2,2,1,4,3,,,1,2,2,2,3,1,1,,,1,,,,,,,,,,,,
SFREC,1,2,5,5,3,3,2,,3,2,,1,2,3,,1,2,2,2,,,,1,1,,,,,,,,,,
SFREC,1,2,6,6,3,2,2,,3,1,3,,1,3,,,,1,1,,,,1,,2,7,,,,,,,,
SFREC,1,2,7,7,3,2,2,,4,2,,,1,3,,1,3,1,1,,1,,,2,,8,,,,,,,,
SFREC,1,2,8,8,3,3,2,1,4,4,,,2,3,,2,4,1,1,,,,,1,,,2,1,,,,,,
SFREC,1,2,9,1,4,2,2,,3,4,,,4,3,1,1,,,,1,,,,,,,,,,,,,,
SFREC,1,2,10,2,4,2,2,,3,3,3,,2,3,1,2,,2,1,,,,,,,,,,4,,,,,
SFREC,1,2,11,3,4,2,2,,3,3,4,1,,3,,2,3,2,1,,,,,,,,,,,2,,,,
SFREC,1,2,12,4,4,1,1,,4,3,2,2,1,4,,2,3,,1,,,,,,,,,,,,1,1,,
SFREC,1,2,13,5,4,2,2,,4,3,3,2,1,3,,1,3,1,,2,,,,,,,,,,,,1,,
SFREC,1,2,14,6,4,2,2,,4,1,2,,,3,,,4,1,2,,,,,,,,,,,,,,,
SFREC,1,2,15,7,4,2,1,,5,2,2,,1,3,,1,3,1,1,,,,,,,,,,,,,,,
SFREC,1,2,16,8,4,3,1,,4,3,,,,3,,2,1,,,,,,,,,,,,,,,,1,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,ClaPur,NavPub,GalPar,LacSer,TriHir,CroSet,TriHya,CerGlo,WhiteRib,DicCap,BriMin,CerGlo,Bare,,,,
SFREC,1,2,1,1,5,2,3,,3,4,,3,3,2,,,2,,1,1,,,,,,,,,,,,,,
SFREC,1,2,2,2,5,3,2,,3,3,,,3,2,,2,3,,2,1,1,1,,,,,,,,,,,,
SFREC,1,2,3,3,5,3,2,,4,4,,,2,2,,2,2,1,,2,,2,,,,,,,,,,,,
SFREC,1,2,4,4,5,4,2,,2,2,3,,1,4,,2,1,,,1,,,,,,,,,,,,,,
SFREC,1,2,5,5,5,4,2,1,2,2,2,2,1,3,,1,2,,,1,,2,1,,,,,,,,,,,
SFREC,1,2,6,6,5,3,2,,3,4,2,,1,4,,,2,,,1,1,1,2,1,1,,,,,,,,,
SFREC,1,2,7,7,5,2,2,,3,4,3,,2,3,,,1,,,,,,,,,1,,,,,,,,
SFREC,1,2,8,8,5,3,2,1,3,2,,2,2,3,,2,4,,,,,,,,,,,,,,,,,
SFREC,1,2,9,1,6,1,2,,3,4,,,2,2,3,2,2,1,,1,,2,,,,,,,,,,,,
SFREC,1,2,10,2,6,2,2,,3,4,,,3,0,2,2,4,1,,1,,1,,,,,,,,,,,,
SFREC,1,2,11,3,6,1,2,,3,4,,1,3,2,,2,3,1,1,1,,,,,,,,,,,,,,
SFREC,1,2,12,4,6,4,1,,3,3,3,2,2,2,,1,1,1,1,1,,,,,,,1,,,,,,,
SFREC,1,2,13,5,6,3,2,,3,3,,,2,3,,2,2,,,2,,,1,,,,,,,,,,,
SFREC,1,2,14,6,6,3,1,,3,3,2,,2,3,2,2,2,,,2,,,,,,,,,,,,,,
SFREC,1,2,15,7,6,2,2,,3,3,,1,3,3,2,2,4,1,,2,,,,,,,,1,1,,,,,
SFREC,1,2,16,8,6,2,2,,3,2,,2,2,3,1,1,4,2,,1,,,1,,1,,,,,10,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,GalPar,MadGra,TriHir,ClaPur,NavPub,CerGlo,PetDub,BriMin,AirCar,DicCap,Bare,CroSet,,,,,
SFREC,1,2,1,1,7,,3,,3,3,,,2,2,,2,3,2,2,1,1,,,,,,,,,,,,,
SFREC,1,2,2,2,7,,2,,3,4,,2,1,2,,2,3,1,,2,,1,1,,,,,,,,,,,
SFREC,1,2,3,3,7,,2,,4,3,,2,2,2,,1,2,1,,,1,,,,,,,,,,,,,
SFREC,1,2,4,4,7,1,2,,4,4,,,3,2,,,1,1,,,,,,,,,,,,,,,,
SFREC,1,2,5,5,7,2,2,,4,2,2,,2,2,2,3,3,1,,,,,,,,,,,,,,,,
SFREC,1,2,6,6,7,3,2,,3,2,2,,2,4,,2,3,2,,,2,,,,,,,,,,,,,
SFREC,1,2,7,7,7,3,1,,3,2,2,1,3,3,3,2,4,,,,,,,1,1,,,,,,,,,
SFREC,1,2,8,8,7,0,2,,3,3,2,2,2,2,3,2,3,,,,,,,,1,1,,,,,,,,
SFREC,1,2,9,1,8,2,1,,3,2,2,1,3,2,1,1,2,1,,,,2,1,,1,,1,,,,,,,
SFREC,1,2,10,2,8,1,1,,4,2,1,1,2,3,,1,3,1,,,2,,,1,,,,,,,,,,
SFREC,1,2,11,3,8,1,1,,4,2,3,,2,3,,2,2,1,,1,,,,1,,,,5,,,,,,
SFREC,1,2,12,4,8,,2,,4,2,,,2,3,2,0,3,1,,,,2,,2,,,,,1,,,,,
SFREC,1,2,13,5,8,,1,,4,2,,,2,2,3,2,3,1,,,1,,,,,,,,,,,,,
SFREC,1,2,14,6,8,,1,,3,2,2,,2,2,3,2,5,,,,,,1,,,,,,,,,,,
SFREC,1,2,15,7,8,1,2,,4,3,2,,2,3,3,1,3,,,,,,1,1,,,,,,,,,,
SFREC,1,2,16,8,8,4,,,2,2,3,,2,2,3,2,2,,,,,,,1,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroDia,BroMad,VulMyu,GalPar,Torilis,LacSer,VicSat,AgoHet,PetDub,EupSpa,Lagophylla,ClaPur,CynEch,WhiteRib,AirCar,BriMin,RiHir,CarPac,MadGra,CenMil,TriHya,Bare,,,,,
SFREC,2,1,1,1,1,3,2,4,1,2,2,3,1,1,,,,,,,,,,,,,,,,,,,,
SFREC,2,1,2,2,1,3,3,3,2,3,2,2,2,,1,2,1,2,1,,,,,,,,,,,,,,,
SFREC,2,1,3,3,1,3,2,4,,2,2,4,2,1,3,,,2,2,1,1,,,,,,,,,,,,,
SFREC,2,1,4,4,1,3,1,4,2,,2,,2,2,,,,2,1,1,2,1,,,,,,,,,,,,
SFREC,2,1,5,5,1,2,2,5,2,,1,,2,,1,,,3,1,3,2,2,1,,,,,,,,,,,
SFREC,2,1,6,6,1,2,3,4,2,2,1,2,1,1,3,,1,2,2,3,1,,,1,,,,,,,,,,
SFREC,2,1,7,7,1,2,2,3,4,,1,,,2,4,,,3,2,3,2,2,,,,,,,,,,,,
SFREC,2,1,8,8,1,3,1,2,4,,1,,,,5,,1,3,3,2,2,2,,,,,,,,,,,,
SFREC,2,1,9,1,2,4,2,3,,3,2,2,,3,,,,1,,,,,,,,,,,,,,,,
SFREC,2,1,10,2,2,3,2,2,,5,1,2,,2,2,,,2,1,2,,1,,,,,,,,,,,,
SFREC,2,1,11,3,2,2,2,2,,2,1,3,,2,3,,1,3,2,2,2,1,,,1,,,,,,,,,
SFREC,2,1,12,4,2,2,2,5,,,,2,,2,3,1,2,2,1,1,3,,,,,,,,,,,,,
SFREC,2,1,13,5,2,2,1,6,,,1,2,,2,3,,2,3,,1,2,1,,,,1,,,,,,,,
SFREC,2,1,14,6,2,2,1,6,,,,,2,,3,,,2,,1,1,1,,,,1,3,,,,,,,
SFREC,2,1,15,7,2,1,1,5,3,,,2,1,2,3,,,1,,2,,1,,1,,,,2,,,,,,
SFREC,2,1,16,8,2,2,1,3,4,2,,2,,,4,,,3,,3,,2,,,,,,,25,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,GalPar,Torilis,AgoHet,Lagophylla,BroDia,LacSer,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,EupSpa,PetDub,TriHir,CarPac,MadGra,NavPub,CenMil,TriHya,VulMyu,AnaArv,EroBot,SheArv,Bare,
SFREC,2,1,1,1,3,3,2,2,2,2,1,2,3,,3,2,,,,,,,,,,,,,,4,,,,
SFREC,2,1,2,2,3,3,2,2,2,3,2,3,,,3,1,2,,,,,,,,,,,,,4,,,,
SFREC,2,1,3,3,3,3,1,1,1,3,2,2,5,,,1,2,2,2,,,,,,,,,,,3,1,,,
SFREC,2,1,4,4,3,2,1,,1,3,4,2,5,,3,2,1,2,1,,,,,,,,,,2,,,,,
SFREC,2,1,5,5,3,,1,1,1,2,3,2,6,,1,2,1,,1,,1,,,,,,,,,,,1,,
SFREC,2,1,6,6,3,2,1,,1,2,3,2,6,,3,,,2,,1,1,,,,,,,,1,,,,,
SFREC,2,1,7,7,3,2,1,,1,3,4,2,5,,3,,1,,,1,,,,,1,,,,,,,,,
SFREC,2,1,8,8,3,3,,3,1,3,4,2,4,,,3,1,,2,,2,,,2,,,,,,,,,,
SFREC,2,1,9,1,4,3,,1,2,2,3,2,4,,,,1,1,,,,,,,,1,,,4,,,,,
SFREC,2,1,10,2,4,2,,3,1,2,4,4,3,,2,1,1,2,2,,,,,,,,,,2,,,,,
SFREC,2,1,11,3,4,4,2,2,1,2,3,3,4,,,,,,2,,,,,,,,,,,,,,,
SFREC,2,1,12,4,4,3,2,2,1,3,3,2,4,,3,,,2,1,1,1,,,,,,,,,,,,,
SFREC,2,1,13,5,4,2,,,2,3,2,1,5,1,3,2,2,1,,,,,,,,,,,,,,,,
SFREC,2,1,14,6,4,2,2,,2,3,3,3,5,,3,2,1,,1,1,,,,,,,,,,,,,,
SFREC,2,1,15,7,4,3,,,1,2,2,2,5,,2,,,2,1,,,,1,2,,,,,,,,,,
SFREC,2,1,16,8,4,2,1,1,1,3,3,2,4,,,3,,1,3,2,1,,,2,2,,,,,,,1,10,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TaeCap,BroHor,BroMad,BroDia,GalPar,Torilis,AgoHet,Lagophylla,VulMyu,VicSat,CynEch,ClaPur,WhiteRib,AirCar,BriMin,LacSer,EupSpa,PetDub,TriHir,CarPac,MadGra,NavPub,CenMil,TriHya,EroBot,SheArv,LinPar,Bare,
SFREC,2,1,1,1,5,2,3,,2,1,2,2,2,,,1,3,,1,,,,,,,,4,,,,,,,
SFREC,2,1,2,2,5,4,2,1,3,1,3,3,2,,,,3,,2,1,,1,,,,,3,,,,,,,
SFREC,2,1,3,3,5,3,2,1,,1,2,4,4,2,2,,2,1,2,1,1,,,,,,2,,,,,,,
SFREC,2,1,4,4,5,3,2,,3,1,3,4,2,2,2,,2,2,1,,1,,,,,,,,1,,,,,
SFREC,2,1,5,5,5,3,2,,4,1,2,4,2,,,1,,2,2,,,,,,,,1,,,,,,,
SFREC,2,1,6,6,5,2,1,,5,1,3,4,2,,,1,2,,,,1,1,,1,,3,,,,,,,,
SFREC,2,1,7,7,5,1,1,,3,1,2,4,2,,,,,1,1,2,,1,,2,,2,,3,,,,,,
