site,sample,block,plot,Total Biomass,PerM2,Notes,year,
MCLA,1,1,1,45.89,458.9,u,2018,526.8888889
MCLA,2,1,1,36.68,366.8,u,2018,
MCLA,3,1,1,51.48,514.8,u,2018,
MCLA,4,1,1,53.82,538.2,u,2018,
MCLA,5,1,1,52.67,526.7,U,2018,
MCLA,6,1,1,43.25,432.5,u,2018,
MCLA,7,1,1,45.46,454.6,u,2018,
MCLA,8,1,1,61.22,612.2,u,2018,
MCLA,9,1,1,44.97,449.7,u,2018,
MCLA,10,1,1,84.65,846.5,u,2018,
MCLA,11,1,2,45.35,453.5,U,2018,425.9444444
MCLA,12,1,2,46.41,464.1,U,2018,
MCLA,13,1,2,48.65,486.5,U,2018,
MCLA,14,1,2,39.86,398.6,u,2018,
MCLA,15,1,2,33.77,337.7,u,2018,
MCLA,16,1,2,53.11,531.1,U,2018,
MCLA,17,1,2,42.8,428,U,2018,
MCLA,18,1,2,44.05,440.5,U,2018,
MCLA,19,1,2,33.33,333.3,U,2018,
MCLA,20,1,2,41.37,413.7,u,2018,
MCLA,21,2,1,45.55,455.5,u,2018,574.7444444
MCLA,22,2,1,63.98,639.8,u,2018,
MCLA,23,2,1,42.32,423.2,U,2018,
MCLA,24,2,1,51.19,511.9,u,2018,
MCLA,25,2,1,59.75,597.5,U,2018,
MCLA,26,2,1,53.42,534.2,u,2018,
MCLA,27,2,1,49.22,492.2,U,2018,
MCLA,28,2,1,64.73,647.3,U,2018,
MCLA,29,2,1,67.97,679.7,U,2018,
MCLA,30,2,1,64.69,646.9,u,2018,
MCLA,31,2,2,57.97,579.7,U,2018,571.0888889
MCLA,32,2,2,37.42,374.2,U,2018,
MCLA,33,2,2,49.16,491.6,U,2018,
MCLA,34,2,2,64.77,647.7,u,2018,
MCLA,35,2,2,64.24,642.4,u,2018,
MCLA,36,2,2,52.04,520.4,Rebag,2018,
MCLA,37,2,2,58.91,589.1,,2018,
MCLA,38,2,2,63.8,638,Fresh bag - reweigh,2018,
MCLA,39,2,2,62.88,628.8,Rebag,2018,
MCLA,40,2,2,60.76,607.6,u,2018,
MCLA,41,3,1,71.45,714.5,,2018,636.3888889
MCLA,42,3,1,62.68,626.8,,2018,
MCLA,43,3,1,75.12,751.2,,2018,
MCLA,44,3,1,68.94,689.4,,2018,
MCLA,45,3,1,65.49,654.9,,2018,
MCLA,46,3,1,40.55,405.5,,2018,
MCLA,47,3,1,53.57,535.7,,2018,
MCLA,48,3,1,74.5,745,,2018,
MCLA,49,3,1,71.88,718.8,,2018,
MCLA,50,3,1,60.02,600.2,,2018,
MCLA,51,3,2,40.93,409.3,,2018,581.5444444
MCLA,52,3,2,58.02,580.2,,2018,
MCLA,53,3,2,31.69,316.9,,2018,
MCLA,54,3,2,42.41,424.1,,2018,
MCLA,55,3,2,90.12,901.2,,2018,
MCLA,56,3,2,42.54,425.4,Large bag,2018,
MCLA,57,3,2,64.4,644,,2018,
MCLA,58,3,2,73.83,738.3,,2018,
MCLA,59,3,2,47.4,474,,2018,
MCLA,60,3,2,72.98,729.8,,2018,
MCLA,61,4,1,73.34,733.4,,2018,678.2777778
MCLA,62,4,1,71.48,714.8,,2018,
MCLA,63,4,1,65.52,655.2,,2018,
MCLA,64,4,1,61.37,613.7,,2018,
MCLA,65,4,1,62.48,624.8,,2018,
MCLA,66,4,1,61.03,610.3,,2018,
MCLA,67,4,1,84.41,844.1,,2018,
MCLA,68,4,1,66.45,664.5,,2018,
MCLA,69,4,1,64.99,649.9,,2018,
MCLA,70,4,1,72.72,727.2,,2018,
MCLA,71,4,2,61.12,611.2,,2018,395.3375
MCLA,72,4,2,58.02,580.2,,2018,
MCLA,73,4,2,36.18,361.8,,2018,
MCLA,74,4,2,25.96,259.6,,2018,
MCLA,75,4,2,,,,2018,
MCLA,76,4,2,32.31,323.1,Papercraft bag,2018,
MCLA,77,4,2,39.24,392.4,,2018,
MCLA,78,4,2,44.56,445.6,Papercraft bag,2018,
MCLA,79,4,2,40.02,400.2,Papercraft bag,2018,
MCLA,80,4,2,39.98,399.8,,2018,
SFREC,81,1,1,36.92,369.2,,2018,398.8666667
SFREC,82,1,1,46.73,467.3,,2018,
SFREC,83,1,1,48.65,486.5,,2018,
SFREC,84,1,1,33.01,330.1,,2018,
SFREC,85,1,1,32.42,324.2,,2018,
SFREC,86,1,1,49.38,493.8,,2018,
SFREC,87,1,1,44.68,446.8,,2018,
SFREC,88,1,1,37.15,371.5,,2018,
SFREC,89,1,1,30.04,300.4,,2018,
SFREC,90,1,1,43.51,435.1,,2018,
SFREC,91,1,2,46.33,463.3,,2018,506.9222222
SFREC,92,1,2,30.96,309.6,s,2018,
SFREC,93,1,2,35.86,358.6,s,2018,
SFREC,94,1,2,43.79,437.9,,2018,
SFREC,95,1,2,57.54,575.4,,2018,
SFREC,96,1,2,42.49,424.9,,2018,
SFREC,97,1,2,71.92,719.2,,2018,
SFREC,98,1,2,64.31,643.1,,2018,
SFREC,99,1,2,52.69,526.9,Large bag,2018,
SFREC,100,1,2,56.67,566.7,,2018,
SFREC,101,2,1,71.92,719.2,,2018,579
SFREC,102,2,1,103.41,1034.1,,2018,
SFREC,103,2,1,42.99,429.9,,2018,
SFREC,104,2,1,39.37,393.7,,2018,
SFREC,105,2,1,50.78,507.8,,2018,
SFREC,106,2,1,48.9,489,Papercraft bag,2018,
SFREC,107,2,1,61.51,615.1,,2018,
SFREC,108,2,1,49.2,492,,2018,
SFREC,109,2,1,65.63,656.3,,2018,
SFREC,110,2,1,59.31,593.1,,2018,
SFREC,111,2,2,50.77,507.7,,2018,467.0333333
SFREC,112,2,2,62.38,623.8,,2018,
SFREC,113,2,2,44.34,443.4,,2018,
SFREC,114,2,2,40.9,409,,2018,
SFREC,115,2,2,45.49,454.9,,2018,
SFREC,116,2,2,42.74,427.4,,2018,
SFREC,117,2,2,44.72,447.2,,2018,
SFREC,118,2,2,50.43,504.3,,2018,
SFREC,119,2,2,43.94,439.4,,2018,
SFREC,120,2,2,45.39,453.9,,2018,
SFREC,121,3,1,29.87,298.7,,2018,297.6888889
SFREC,122,3,1,29.26,292.6,,2018,
SFREC,123,3,1,30.34,303.4,,2018,
SFREC,124,3,1,23.3,233,,2018,
SFREC,125,3,1,37.38,373.8,,2018,
SFREC,126,3,1,28.73,287.3,,2018,
SFREC,127,3,1,32.06,320.6,,2018,
SFREC,128,3,1,25.46,254.6,,2018,
SFREC,129,3,1,30.93,309.3,,2018,
SFREC,130,3,1,30.46,304.6,,2018,
SFREC,131,3,2,39.71,397.1,,2018,403
SFREC,132,3,2,39.55,395.5,,2018,
SFREC,133,3,2,32.99,329.9,,2018,
SFREC,134,3,2,30.71,307.1,,2018,
SFREC,135,3,2,48.12,481.2,,2018,
SFREC,136,3,2,40.92,409.2,,2018,
SFREC,137,3,2,40.41,404.1,,2018,
SFREC,138,3,2,43.28,432.8,,2018,
SFREC,139,3,2,43.46,434.6,,2018,
SFREC,140,3,2,43.26,432.6,,2018,
SFREC,141,4,1,34,340,,2018,329.6
SFREC,142,4,1,29.98,299.8,,2018,
SFREC,143,4,1,42.14,421.4,,2018,
SFREC,144,4,1,4.45,44.5,,2018,
SFREC,145,4,1,34.24,342.4,,2018,
SFREC,146,4,1,33.31,333.1,,2018,
SFREC,147,4,1,39.48,394.8,,2018,
SFREC,148,4,1,33.93,339.3,,2018,
SFREC,149,4,1,37.78,377.8,,2018,
SFREC,150,4,1,41.33,413.3,,2018,
SFREC,151,4,2,34.74,347.4,,2018,374.0888889
SFREC,152,4,2,36.57,365.7,,2018,
SFREC,153,4,2,36.3,363,,2018,
SFREC,154,4,2,38.64,386.4,,2018,
SFREC,155,4,2,29.72,297.2,,2018,
SFREC,156,4,2,30.34,303.4,,2018,
SFREC,157,4,2,33.1,331,,2018,
SFREC,158,4,2,37.81,378.1,,2018,
SFREC,159,4,2,49.45,494.5,,2018,
SFREC,160,4,2,44.75,447.5,,2018,
HREC,161,1,1,27.79,277.9,,2018,
HREC,162,1,1,49.3,493,,2018,
HREC,163,1,1,47.16,471.6,,2018,
HREC,164,1,1,47.17,471.7,,2018,
HREC,165,1,1,69.7,697,,2018,
HREC,166,1,1,68.78,687.8,"X = 4, Y =3",2018,
HREC,167,1,1,55.64,556.4,,2018,
HREC,168,1,1,,,,2018,
HREC,169,1,1,56.61,566.1,,2018,
HREC,170,1,1,56.6,566,,2018,
HREC,171,1,2,38.27,382.7,,2018,
HREC,172,1,2,35.87,358.7,,2018,
HREC,173,1,2,32.27,322.7,,2018,
HREC,174,1,2,29.71,297.1,,2018,
HREC,175,1,2,69.28,692.8,,2018,
HREC,176,1,2,44.26,442.6,,2018,
HREC,177,1,2,75.71,757.1,,2018,
HREC,178,1,2,85.51,855.1,,2018,
HREC,179,1,2,52.69,526.9,,2018,
HREC,180,1,2,56.57,565.7,,2018,
HREC,181,2,1,69.25,692.5,,2018,
HREC,182,2,1,62.03,620.3,,2018,
HREC,183,2,1,71,710,,2018,
HREC,184,2,1,108.96,1089.6,,2018,
HREC,185,2,1,65,650,,2018,
HREC,186,2,1,74.27,742.7,,2018,
HREC,187,2,1,58.67,586.7,,2018,
HREC,188,2,1,70.04,700.4,,2018,
HREC,189,2,1,62.46,624.6,,2018,
HREC,190,2,1,74.15,741.5,,2018,
HREC,191,2,2,37.03,370.3,,2018,
HREC,192,2,2,51.49,514.9,,2018,
HREC,193,2,2,78.16,781.6,,2018,
HREC,194,2,2,73.93,739.3,,2018,
HREC,195,2,2,53.97,539.7,,2018,
HREC,196,2,2,56.13,561.3,,2018,
HREC,197,2,2,31.46,314.6,,2018,
HREC,198,2,2,69.8,698,,2018,
HREC,199,2,2,56.21,562.1,,2018,
HREC,200,2,2,44.21,442.1,"X = 4, Y = 6",2018,
HREC,201,3,1,44.2,442,,2018,
HREC,202,3,1,34.72,347.2,,2018,
HREC,203,3,1,34.66,346.6,,2018,
HREC,204,3,1,27.1,271,,2018,
HREC,205,3,1,26.78,267.8,,2018,
HREC,206,3,1,37.46,374.6,,2018,
HREC,207,3,1,28.43,284.3,,2018,
HREC,208,3,1,30.24,302.4,,2018,
HREC,209,3,1,43.11,431.1,,2018,
HREC,210,3,1,38.64,386.4,,2018,
HREC,211,3,2,25.12,251.2,,2018,
HREC,212,3,2,18.35,183.5,,2018,
HREC,213,3,2,27.86,278.6,,2018,
HREC,214,3,2,19.66,196.6,,2018,
HREC,215,3,2,34.82,348.2,,2018,
HREC,216,3,2,27.11,271.1,,2018,
HREC,217,3,2,24.67,246.7,,2018,
HREC,218,3,2,28.53,285.3,,2018,
HREC,219,3,2,21.02,210.2,,2018,
HREC,220,3,2,14.81,148.1,,2018,
HREC,221,4,1,23.72,237.2,,2018,
HREC,222,4,1,27.74,277.4,,2018,
HREC,223,4,1,17.92,179.2,,2018,
HREC,224,4,1,26.4,264,,2018,
HREC,225,4,1,40.36,403.6,,2018,
HREC,226,4,1,42.63,426.3,,2018,
HREC,227,4,1,49.82,498.2,,2018,
HREC,228,4,1,31.26,312.6,,2018,
HREC,229,4,1,69.84,698.4,,2018,
HREC,230,4,1,61.49,614.9,,2018,
HREC,231,4,2,26.92,269.2,,2018,
HREC,232,4,2,24.72,247.2,,2018,
HREC,233,4,2,24.67,246.7,,2018,
HREC,234,4,2,39.48,394.8,,2018,
HREC,235,4,2,46.91,469.1,,2018,
HREC,236,4,2,38.02,380.2,,2018,
HREC,237,4,2,42.08,420.8,,2018,
HREC,238,4,2,48.25,482.5,,2018,
HREC,239,4,2,48.66,486.6,,2018,
HREC,240,4,2,42.76,427.6,,2018,
MCLA,1,1,1,,,,2017,
MCLA,2,1,1,,,,2017,
MCLA,3,1,1,,,,2017,
MCLA,4,1,1,,,,2017,
MCLA,5,1,1,,,,2017,
MCLA,6,1,1,,,,2017,
MCLA,7,1,1,,,,2017,
MCLA,8,1,1,,,,2017,
MCLA,9,1,1,,,,2017,
MCLA,10,1,1,,,,2017,
MCLA,11,1,2,,,,2017,
MCLA,12,1,2,,,,2017,
MCLA,13,1,2,,,,2017,
MCLA,14,1,2,,,,2017,
MCLA,15,1,2,,,,2017,
MCLA,16,1,2,,,,2017,
MCLA,17,1,2,,,,2017,
MCLA,18,1,2,,,,2017,
MCLA,19,1,2,,,,2017,
MCLA,20,1,2,,,,2017,
MCLA,21,2,1,,,,2017,
MCLA,22,2,1,,,,2017,
MCLA,23,2,1,,,,2017,
MCLA,24,2,1,,,,2017,
MCLA,25,2,1,,,,2017,
MCLA,26,2,1,,,,2017,
MCLA,27,2,1,,,,2017,
MCLA,28,2,1,,,,2017,
MCLA,29,2,1,,,,2017,
MCLA,30,2,1,,,,2017,
MCLA,31,2,2,,,,2017,
MCLA,32,2,2,,,,2017,
MCLA,33,2,2,,,,2017,
MCLA,34,2,2,,,,2017,
MCLA,35,2,2,,,,2017,
MCLA,36,2,2,,,,2017,
MCLA,37,2,2,,,,2017,
MCLA,38,2,2,,,,2017,
MCLA,39,2,2,,,,2017,
MCLA,40,2,2,,,,2017,
MCLA,41,3,1,,,,2017,
MCLA,42,3,1,,,,2017,
MCLA,43,3,1,,,,2017,
MCLA,44,3,1,,,,2017,
MCLA,45,3,1,,,,2017,
MCLA,46,3,1,,,,2017,
MCLA,47,3,1,,,,2017,
MCLA,48,3,1,,,,2017,
MCLA,49,3,1,,,,2017,
MCLA,50,3,1,,,,2017,
MCLA,51,3,2,,,,2017,
MCLA,52,3,2,,,,2017,
MCLA,53,3,2,,,,2017,
MCLA,54,3,2,,,,2017,
MCLA,55,3,2,,,,2017,
MCLA,56,3,2,,,,2017,
MCLA,57,3,2,,,,2017,
MCLA,58,3,2,,,,2017,
MCLA,59,3,2,,,,2017,
MCLA,60,3,2,,,,2017,
MCLA,61,4,1,69.95,699.5,,2017,
MCLA,62,4,1,60.91,609.1,,2017,
MCLA,63,4,1,35.83,358.3,,2017,
MCLA,64,4,1,43.9,439,,2017,
MCLA,65,4,1,43.32,433.2,,2017,
MCLA,66,4,1,48.99,489.9,,2017,
MCLA,67,4,1,50.76,507.6,,2017,
MCLA,68,4,1,25.61,256.1,,2017,
MCLA,69,4,1,46.6,466,,2017,
MCLA,70,4,1,40.1,401,,2017,
MCLA,71,4,2,15.64,156.4,,2017,
MCLA,72,4,2,20.22,202.2,,2017,
MCLA,73,4,2,35.48,354.8,,2017,
MCLA,74,4,2,29.4,294,,2017,
MCLA,75,4,2,17.27,172.7,,2017,
MCLA,76,4,2,17.89,178.9,,2017,
MCLA,77,4,2,28.63,286.3,,2017,
MCLA,78,4,2,14.25,142.5,,2017,
MCLA,79,4,2,24.21,242.1,,2017,
MCLA,80,4,2,29.36,293.6,,2017,
SFREC,81,1,1,37.12,371.2,,2017,
SFREC,82,1,1,46.16,461.6,,2017,
SFREC,83,1,1,40.68,406.8,,2017,
SFREC,84,1,1,31.36,313.6,,2017,
SFREC,85,1,1,20.08,200.8,,2017,
SFREC,86,1,1,60.23,602.3,,2017,
SFREC,87,1,1,31.97,319.7,,2017,
SFREC,88,1,1,20.07,200.7,,2017,
SFREC,89,1,1,39.37,393.7,,2017,
SFREC,90,1,1,34.59,345.9,,2017,
SFREC,91,1,2,36.98,369.8,,2017,
SFREC,92,1,2,34.49,344.9,,2017,
SFREC,93,1,2,24.36,243.6,,2017,
SFREC,94,1,2,27.54,275.4,,2017,
SFREC,95,1,2,30.56,305.6,,2017,
SFREC,96,1,2,70.47,704.7,,2017,
SFREC,97,1,2,51.91,519.1,,2017,
SFREC,98,1,2,63.91,639.1,,2017,
SFREC,99,1,2,86.37,863.7,,2017,
SFREC,100,1,2,66.08,660.8,,2017,
SFREC,101,2,1,46.07,460.7,,2017,
SFREC,102,2,1,47.78,477.8,,2017,
SFREC,103,2,1,55.87,558.7,,2017,
SFREC,104,2,1,41.38,413.8,,2017,
SFREC,105,2,1,30,300,,2017,
SFREC,106,2,1,58.33,583.3,,2017,
SFREC,107,2,1,48.83,488.3,,2017,
SFREC,108,2,1,36.19,361.9,,2017,
SFREC,109,2,1,47.6,476,,2017,
SFREC,110,2,1,56.13,561.3,,2017,
SFREC,111,2,2,40.74,407.4,,2017,
SFREC,112,2,2,57.34,573.4,,2017,
SFREC,113,2,2,51.59,515.9,,2017,
SFREC,114,2,2,33.02,330.2,,2017,
SFREC,115,2,2,31.73,317.3,,2017,
SFREC,116,2,2,47.46,474.6,,2017,
SFREC,117,2,2,26.03,260.3,,2017,
SFREC,118,2,2,42.03,420.3,,2017,
SFREC,119,2,2,62.4,624,,2017,
SFREC,120,2,2,59.72,597.2,,2017,
SFREC,121,3,1,50.52,505.2,,2017,
SFREC,122,3,1,22.66,226.6,,2017,
SFREC,123,3,1,23.18,231.8,,2017,
SFREC,124,3,1,23.7,237,,2017,
SFREC,125,3,1,6.71,67.1,,2017,
SFREC,126,3,1,21.83,218.3,,2017,
SFREC,127,3,1,11.38,113.8,,2017,
SFREC,128,3,1,7.97,79.7,,2017,
SFREC,129,3,1,18.36,183.6,,2017,
SFREC,130,3,1,24.07,240.7,,2017,
SFREC,131,3,2,22.64,226.4,,2017,
SFREC,132,3,2,22.21,222.1,,2017,
SFREC,133,3,2,18.81,188.1,,2017,
SFREC,134,3,2,30.51,305.1,,2017,
SFREC,135,3,2,17.3,173,,2017,
SFREC,136,3,2,17.52,175.2,,2017,
SFREC,137,3,2,27.3,273,,2017,
SFREC,138,3,2,13.11,131.1,,2017,
SFREC,139,3,2,27.09,270.9,,2017,
SFREC,140,3,2,17.06,170.6,,2017,
SFREC,141,4,1,36.92,369.2,,2017,
SFREC,142,4,1,27.33,273.3,,2017,
SFREC,143,4,1,25.5,255,,2017,
SFREC,144,4,1,20.17,201.7,,2017,
SFREC,145,4,1,19.66,196.6,,2017,
SFREC,146,4,1,27.53,275.3,,2017,
SFREC,147,4,1,24.57,245.7,,2017,
SFREC,148,4,1,26.35,263.5,,2017,
SFREC,149,4,1,29.12,291.2,,2017,
SFREC,150,4,1,25.27,252.7,,2017,
SFREC,151,4,2,25.58,255.8,,2017,
SFREC,152,4,2,21.96,219.6,,2017,
SFREC,153,4,2,36.99,369.9,,2017,
SFREC,154,4,2,20.81,208.1,,2017,
SFREC,155,4,2,33.14,331.4,,2017,
SFREC,156,4,2,31.72,317.2,,2017,
SFREC,157,4,2,15.79,157.9,,2017,
SFREC,158,4,2,35.75,357.5,,2017,
SFREC,159,4,2,16.56,165.6,,2017,
SFREC,160,4,2,21.87,218.7,,2017,
HREC,161,1,1,48.95,489.5,,2017,
HREC,162,1,1,36.39,363.9,,2017,
HREC,163,1,1,23.49,234.9,,2017,
HREC,164,1,1,22.86,228.6,,2017,
HREC,165,1,1,26.68,266.8,,2017,
HREC,166,1,1,19.79,197.9,,2017,
HREC,167,1,1,22.56,225.6,,2017,
HREC,168,1,1,34.71,347.1,,2017,
HREC,169,1,1,38.79,387.9,,2017,
HREC,170,1,1,27.25,272.5,,2017,
HREC,171,1,2,51.77,517.7,,2017,
HREC,172,1,2,31.46,314.6,,2017,
HREC,173,1,2,38.29,382.9,,2017,
HREC,174,1,2,32.77,327.7,,2017,
HREC,175,1,2,45.32,453.2,,2017,
HREC,176,1,2,45.17,451.7,,2017,
HREC,177,1,2,43.32,433.2,,2017,
HREC,178,1,2,53.67,536.7,,2017,
HREC,179,1,2,50.97,509.7,,2017,
HREC,180,1,2,58.71,587.1,,2017,
HREC,181,2,1,64.94,649.4,,2017,
HREC,182,2,1,64.11,641.1,,2017,
HREC,183,2,1,43.35,433.5,,2017,
HREC,184,2,1,51.92,519.2,,2017,
HREC,185,2,1,46.82,468.2,,2017,
HREC,186,2,1,57.75,577.5,,2017,
HREC,187,2,1,68.73,687.3,,2017,
HREC,188,2,1,50.83,508.3,,2017,
HREC,189,2,1,61.56,615.6,,2017,
HREC,190,2,1,63.2,632,,2017,
HREC,191,2,2,59.5,595,,2017,
HREC,192,2,2,53.22,532.2,,2017,
HREC,193,2,2,,,,2017,
HREC,194,2,2,,,,2017,
HREC,195,2,2,67.4,674,,2017,
HREC,196,2,2,52.33,523.3,,2017,
HREC,197,2,2,70.89,708.9,,2017,
HREC,198,2,2,50.11,501.1,,2017,
HREC,199,2,2,53.23,532.3,,2017,
HREC,200,2,2,69.22,692.2,,2017,
HREC,201,3,1,,,,2017,
HREC,202,3,1,,,,2017,
HREC,203,3,1,,,,2017,
HREC,204,3,1,,,,2017,
HREC,205,3,1,,,,2017,
HREC,206,3,1,,,,2017,
HREC,207,3,1,,,,2017,
HREC,208,3,1,,,,2017,
HREC,209,3,1,,,,2017,
HREC,210,3,1,,,,2017,
HREC,211,3,2,,,,2017,
HREC,212,3,2,25.33,253.3,,2017,
HREC,213,3,2,21.71,217.1,,2017,
HREC,214,3,2,,,,2017,
HREC,215,3,2,,,,2017,
HREC,216,3,2,32.2,322,,2017,
HREC,217,3,2,32.57,325.7,,2017,
HREC,218,3,2,24.75,247.5,,2017,
HREC,219,3,2,31.6,316,,2017,
HREC,220,3,2,27.43,274.3,,2017,
HREC,221,4,1,20.72,207.2,,2017,
HREC,222,4,1,40.28,402.8,,2017,
HREC,223,4,1,28.2,282,,2017,
HREC,224,4,1,32.31,323.1,,2017,
HREC,225,4,1,25.37,253.7,,2017,
HREC,226,4,1,24.51,245.1,,2017,
HREC,227,4,1,13.25,132.5,,2017,
HREC,228,4,1,26.12,261.2,,2017,
HREC,229,4,1,50.27,502.7,,2017,
HREC,230,4,1,,,,2017,
HREC,231,4,2,25.45,254.5,,2017,
HREC,232,4,2,,,,2017,
HREC,233,4,2,21.84,218.4,,2017,
HREC,234,4,2,29.9,299,,2017,
HREC,235,4,2,30.49,304.9,,2017,
HREC,236,4,2,31.04,310.4,,2017,
HREC,237,4,2,,,,2017,
HREC,238,4,2,,,,2017,
HREC,239,4,2,29.97,299.7,,2017,
HREC,240,4,2,,,,2017,
