Label,Species,Group ,Live,Provenance,Note
AchMil,Achillea.millefolium,Forb,1,,
achmol,Achyracaena.mollis,Forb,1,,
Achyracaena,Achyracaena.mollis,Forb,1,,
Acmispon,Lotus.sp.,Legume,1,,
AegTri,Aegilops.triuncialis,Grass,1,,
AgoHet,Agoseris.heterophylla,Forb,1,,
AirCar,Aira.caryophyllaea,Grass,1,,
AmsMen,Amsinckia.menziesii,Forb,1,,
AnaArv,Anagallis.arvensis,Forb,1,,
astragalus,Astragalus.gambelianus,Legume,1,,
AthPus,Athysanus.pusillus,Forb,1,,
Athysanus,Athysanus.pusillus,Forb,1,,
AveBar,Avena.barbata,Grass,1,,
AveFat,Avena.barbata,Grass,1,,
Bare,Bare.ground,Other,0,,
BigYellow,Lomatium.californicum,Forb,1,,
BriMax,Briza.maxima,Grass,1,,
BriMin,Briza.minima,Grass,1,,
BroCar,Bromus.carinatus,Grass,1,,
BroDia,Bromus.diandrus,Grass,1,,
BroHor,Bromus.hordeaceous,Grass,1,,
BroMad,Bromus.madritensis,Grass,1,,
BroSter,Bromus.sterilis,Grass,1,,
calcil,Calandrinia.ciliata,Forb,1,,
callut,Calochortus.luteus,Forb,1,,
calpar,Galium.parisiense,Forb,1,,
cardamine,Cardamine.oligosperma,Forb,1,,
CarPac,Carduus.pachnocephalus,Forb,1,,
carpac.,Carduus.pachnocephalus,Forb,1,,
casatt,Castilleja.attenuata,Forb,1,,
CenMil,Centaurea.melitensis,Forb,1,,
cenmil..not..,Centaurea.melitensis,Forb,1,,
CenSol,Centaurea.solstitialis,Forb,1,,
cerastium,Cerastium.glomeratum,Forb,1,,
CerGlo,Cerastium.glomeratum,Forb,1,,
ClaPer,Clatonia.perfoliata,Forb,1,,
ClaPur,Clarkia.Purpurea,Forb,1,,
collinsia,Collinsia.sparsiflora,Forb,1,,
Collinsia.Pink.Rosette,Collinsia.sparsiflora,Forb,1,,
collinsia.pink.rosette,Collinsia.sparsiflora,Forb,1,,
ConArv,Convolvulus.arvensis,Forb,1,,
corv,Convolvulus.arvensis,Forb,1,,
CroSet,Croton.setigerus,Forb,1,,
CynEch,Cynosurus.echinatus,Grass,1,,
DaucPusil,Daucus.pusillus,Forb,1,,
delgra,Delphinium.gracilentum,Forb,1,,
delphinium,Delphinium.variegatum,Forb,1,,
delphinium.,Delphinium.variegatum,Forb,1,,
DelVar,Delphinium.variegatum,Forb,1,,
DicCap,Dichlostemma.capitatum,Forb,1,,
dicmul,Dichlostemma.multiflorum,Forb,1,,
DiskSeed,Thysanocarpus.curvipes,Forb,1,,
Dung,Animal.dung,Other,0,,
ElyGla,Elymus.glaucus,Forb,1,,
elymushairy.,Elymus.multisetus,Grass,1,,
ElymusHairy?,Elymus.multisetus,Forb,1,,
EroBot,Erodium.botrys,Forb,1,,
EroCic,Erodium.cicutarium,Forb,1,,
erodium,Erodium.botrys,Forb,1,,
EupSpa,Euphorbia.spathulata,Forb,1,,
filago,Filago.gallica,Forb,1,,
Filago.(Unk),Filago.gallica,Forb,1,,
filago..unk.,Filago.gallica,Forb,1,,
FilGal,Filago.gallica,Forb,1,,
FuzzyBrush,,,1,,
FuzzyGreen,,,1,,
GalApa,Galium.aparine,Forb,1,,
GalPar,Galium.parisiense,Forb,1,,
GasVen,Gastridium.ventricosum,Grass,1,,
GeraniumLarge,Geranium.molle,Forb,1,,
GerDis,Geranium.dissectum,Forb,1,,
GerMol,Geranium.molle,Forb,1,,
gilia,Gilia.tricolor,Forb,1,,
Gopher,Gopher.mound,Other,0,,
greenbrush,,,1,,
GreenFuzzy,,,1,,
GreenSpiky,,,1,,
Hole,Gopher.hole,Other,0,,
HolVir,Holocarpha.virgata,Forb,1,,
Hoof,Hoofprint,Other,0,,
hyagra,,,,,
Hypericum,Hypericum.sp.,Forb,1,,
HypGla,Hypochaeris.glabra,Forb,1,,
HypRad,Hypochaeris.radicata,Forb,1,,
laccil,,,,,
LacSer,Lactuca.serriola,Forb,1,,
LagMaj,Lagophylla.ramosissma,Forb,1,,
LagMaj.1,Lagophylla.ramosissma,Forb,1,,
LagMajor,Lagophylla.ramosissma,Forb,1,,
LagMin,Lagophylla.ramosissma,Forb,1,,
LagMinor,Lagophylla.ramosissma,Forb,1,,
Lagophylla,Lagophylla.ramosissma,Forb,1,,
LargeBrush,Large.brush,Forb,1,,
latsph,Lathyrus.sphaericus,Legume,1,,
lilunk,,,,,
Linanthus,Linanthus.sp.,Forb,1,,
Linanthus.Sp,Linanthus.sp.,Forb,1,,
Linanthus.sp.,Linanthus.sp.,Forb,1,,
linanthus.sp,Linanthus.sp.,Forb,1,,
linanthus.sp.,Linanthus.sp.,Forb,1,,
LinBic,Linanthus.bicolor,Forb,1,,
LinBic.(Purple),Linanthus.bicolor,Forb,1,,
linbic..purple.,Linanthus.bicolor,Forb,1,,
LinPar,Linanthus.parviflora,Forb,1,,
LittleUnk,Little.unknown,,1,,
Log,Wood.debris,Other,0,,
LolMul,Lolium.multiflorum,Grass,1,,
Lomatium,Lomatium.californicum,Forb,1,,
longawn.brome,Bromus.carinatus,Grass,1,,
LongawnBrome,Bromus.carinatus,Grass,1,,
LotMic,Lotus.micranthus,Legume,1,,
LotPur,Lotus.purshianus,Legume,1,,
Lotus,Lotus.purshianus,Legume,1,,
Lotus.Sp,Lotus.purshianus,Legume,1,,
Lotus.Sp.,Lotus.purshianus,Legume,1,,
Lotus.Sp..,Lotus.purshianus,Legume,1,,
lotus.hairy,Lotus.purshianus,Legume,1,,
lotus.sp,Lotus.purshianus,Legume,1,,
lotus.sp.,Lotus.purshianus,Legume,1,,
lotus.sp..1,Lotus.purshianus,Legume,1,,
LotusHairy,Lotus.purshianus,Legume,1,,
LotusSmall,Lotus.micranthus,Legume,1,,
LotusSp,Lotus.purshianus,Legume,1,,
LotWra,Lotus.wrangelianus,Legume,1,,
LupBic,Lupinus.bicolor,Legume,1,,
lupinus,Lupinus.bicolor,Legume,1,,
luzcom,Luzula.comosa,Grass,1,,
mad.esque,Madea-esque.plant,Forb,1,,
mad.esque,Madea-esque.plant,Forb,1,,
Madea,Madea-esque.plant,Forb,1,,
madea.esque,Madea-esque.plant,Forb,1,,
madea.esque,Madea-esque.plant,Forb,1,,
Madea-esque,Madea-esque.plant,Forb,1,,
Madea-Esque,Madea-esque.plant,Forb,1,,
Mad-esque,Madea-esque.plant,Forb,1,,
Mad-Esque,Madea-esque.plant,Forb,1,,
MadGra,Madia.gracilis,Forb,1,,
MadSat,Madea.sativa,Forb,1,,
medicago,Trifolium.dubium,Legume,1,,
MedPol,Trifolium.dubium,Legume,1,,Remove! TriDub
MicCal,Micropus.californica,Forb,1,,
NasPul,Nassella.pulchra,Grass,1,,
navarretia,Navarretia.pubescens,Forb,1,,
NavPub,Navarretia.pubescens,Forb,1,,
notago,Tolpis.barbata,Forb,1,,
Note,Note,Other,0,,
NotGerMol,,,1,,Sidalcea?
Oak,Oak.seedling,Other,0,,
OakSeedling,Oak.seedling,Other,0,,
Ograceae,Unk..Onagraceae,Forb,1,,Lagophylla?
Oligosperma,Cardamine.oligosperma,Forb,1,,
onagraceae,,,,,
Paintbursh,Castilleja.exserta,Forb,1,,Castilleja exserta or Castilleja densiflora
PetDub,Petrorhagia.dubia,Forb,1,,
pink.cup.opposite,,,,,
PinkBrush,Castilleja.exserta,Forb,1,,Pink brush (Castilleja exserta or Castilleja densiflora)
plalan,Plantago.lanceolata,Forb,1,,
PlaNot,Plagiobothrys.nothofulvus,Forb,1,,
planot,Plagiobothrys.nothofulvus,Forb,1,,
Plantago,Plantago.sp.,Forb,1,,
poasecunda,Poa.secunda,Grass,1,,
Poop(DEER),Animal.dung,Other,0,,
poop.deer.,Animal.dung,Other,0,,
PurpleClover,Trifolium.albopurpurea,Legume,1,,Check raw
PurpleCup,Githopsis.specularioides,Forb,1,,
purplecup,Githopsis.specularioides,Forb,1,,
purpleflower,Githopsis.specularioides,Forb,1,,
RanCal,Ranunculus.californica,Forb,1,,
Red.Eriophyllium,,,1,,
red.eriophyllium,,,,,
RedLotus.(pic),,,1,,
redlotus..pic.,,,,,
Rock,Rock,Other,0,,
SanBip,Sanicula.bipinnatifida,Forb,1,,
Scandix,Scandix.pecten-veneris,Forb,1,,
scapec,Scandix.pecten-veneris,Forb,1,,
Sedge,Unknown.sedge,Grass,1,,
shearv,Sherardia.arvensis,Forb,1,,
Sherardia,Sherardia.arvensis,Forb,1,,
shieldseed,Thysanocarpus.curvipes,Forb,1,,
Sidalcea,Sidalcea.diploscypha,Forb,1,,
SilGal,Silene.gallica,Forb,1,,
SisBel,Sisyrinchium.bellum,Forb,1,,
SpikyHyp,Tolpis.barbata,Forb,1,,
SpkiyHypochaeris,Tolpis.barbata,Forb,1,,Same as notago?
step,Animal.hoofprint,Other,0,,
TaeCap,Taeniatherum.caput-medusae,Grass,1,,
thycur,Thysanocarpus.curvipes,Forb,1,,
Torilis,Torilis.sp.,Forb,1,,
TriAlbo,Trifolium.albopurpurea,Legume,1,,
tribif,Trifolium.bifidum,Legume,1,,
TriBlue,Tritileia.laxa,Forb,1,,
tricil,Trifolium.ciliolatum,Legume,1,,
TriCupcake,Trifolium.microdon,Legume,1,,
TriDub,Trifolium.dubium,Legume,1,,
tridub.1,Trifolium.dubium,Legume,1,,
TriEri,Triphyseria.eriantha,Forb,1,,
trieri.1,Triphyseria.eriantha,Forb,1,,
trifc,Trifolium.depauperatum,Legume,1,,
Trifolium,Trifolium.subterraneum,Legume,1,,
Trifolium.(Unsure),Trifolium.subterraneum,Legume,1,,
trifolium..unsure.,,,,,
TriFuc,Trifolium.depauperatum,Legume,1,,
trifuc.1,Trifolium.depauperatum,Legume,1,,
trifucatum,Trifolium.depauperatum,Legume,1,,
trigra,Trifolium.gracilentum,Legume,1,,
TriGra,Trifolium.gracilentum,Legume,1,,
TriHir,Trifolium.hirtum,Legume,1,,
trihya,Tritileia.hyacinthina,Forb,1,,
TriHya,Tritileia.hyacinthina,Forb,1,,
trilax,Tritileia.laxa,Forb,1,,
TriLobe,Cardamine.oligosperma,Forb,1,,
TriLobed,Cardamine.oligosperma,Forb,1,,
Tri-lobed.plant,Cardamine.oligosperma,Forb,1,,
trimicroceph,Trifolium.microcephalum,Legume,1,,
trimicrodon,Trifolium.microdon,Legume,1,,
TriPlate,Trifolium.microcephalum,Legume,1,,
triref,Trifolium.gracilentum,Legume,1,,
TriRefHairy,Trifolium.gracilentum,Legume,1,,
TriRefLarge,Trifolium.gracilentum,Legume,1,,
TriReflexed,Trifolium.gracilentum,Legume,1,,
TriRefNoBract,Trifolium.gracilentum,Legume,1,,
TriRefSmall,Trifolium.bifidum,Legume,1,,
triwhite,Trifolium.subterraneum,Legume,1,,
TriWhite,Trifolium.subterraneum,Legume,1,,
triwil,Trifolium.wildenovii,Legume,1,,
TriWil,Trifolium.wildenovii,Legume,1,,
triwil.,Trifolium.wildenovii,Legume,1,,
triwildenovii,Trifolium.wildenovii,Legume,1,,
triwra,,,1,,
Unk.Pin.4.plit.petals,Zeltnera.trichantha,Forb,1,,
Unk.VicSat?,Vicia.sativa,Legume,1,,
unk.grass,,,,,
unk.pin.4.plit.petals,,,,,
unk.vicsat.,,,,,
UnkAster,Unknown.aster,Forb,1,,
UnkFlower,,,1,,
unkforb,,,,,
UnkForb(photo).Vic?,Unknown.forb,Forb,1,,
unkforb.photo..vic.,,,,,
UnkGrass,Unknown.grass,Grass,1,,
UnkGrass,Unknown.grass,Grass,1,,
UnkLargeAp.,,,1,,
UnkPink,,,1,,
unktar,,,,,
UnkVetch,,,1,,
UnkWhorl,,,1,,
Vicia.(Sativa?),Vicia.sativa,Legume,1,,
vicia..sativa..,Vicia.sativa,Legume,1,,
VicSat,Vicia.sativa,Legume,1,,
vicsat.1,Vicia.sativa,Legume,1,,
VicVel,Vicia.villosa,Legume,1,,
vicvil,Vicia.villosa,Legume,1,,
vpub,Navarretia.pubescens,Forb,1,,
VulMicro,Vulpia.microstachys,Grass,1,,
VulMyu,Vulpia.myuros,Grass,1,,
white.pink.brush,,,,,
White/Pink.Brush,,,1,,
WhiteBrush,,,1,,
whiteflower,,,,,
WhiteLily,Odontostomum.hartwegii,Forb,1,,
whiterib,,,,,
whorledtarweed,,,,,
Wood,Wood.debris,Other,0,,
x4.waygrass,4-way.grass,Forb,1,,
Yellow.(Lagophylla),Lagophylla.ramosissma,Forb,1,,
yellow..lagophylla.,Lagophylla.ramosissma,Forb,1,,
yellow.white.brush,Lomatium.californicum,Forb,1,,
Yellow/White.Brush,Lomatium.californicum,Forb,1,,
YellowApiaceae,Lomatium.californicum,Forb,1,,
YellowFlower,,,1,,
zigadenus,Odontostomum.hartwegii,Forb,1,,
