Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriWhite,MadGra,NavPub,TriPlate,ClaPur,LolMul,AnaArv,SilGal,TriHir,GalPar,
,,,,3,3,1,4,,,2,,5,2,,,2,,,,,,,,,,
,,,,4,4,1,3,,,4,,2,1,,,2,2,,,,,,,,,
,,,,5,5,1,3,,,4,3,3,,,,,,1,,,,,,,,
,,,,6,6,1,4,,,3,2,4,,,,,,1,,,,,,,,
,,,,7,7,1,3,,,4,,2,,,,,,,,,,,,,,
,,,,8,8,1,2,,,3,,2,,,,,2,,2,,,,,,,
,,,,9,1,2,3,,,3,,4,3,,,2,,,,,,,,,,
,,,,10,2,2,4,,,2,,2,4,,,2,,,,,,,,,,
,,,,11,3,2,4,,2,2,,5,2,,,2,,,,,,,,,,
,,,,12,4,2,3,,,4,,6,,,,,,,,,,,,,,
,,,,13,5,2,4,,2,4,,3,,,,1,,,,1,,,,,,
,,,,14,6,2,3,1,,4,,3,,,,,,,,,,,,,,
,,,,15,7,2,2,,,4,,3,2,,,,,,,,,,,,,
,,,,16,8,2,2,,,3,,2,2,,,1,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,FilGal,TriPlate,ClaPur,GalPar,,,,,,,
MCL,5/21/2017,3,1,1,1,3,4,,,3,2,4,,,,1,1,,,,,,,,,
,,,,2,2,3,4,,,3,,3,2,,,,2,,,,,,,,,
,,,,3,3,3,3,,,4,,5,,,,,,,,,,,,,,
,,,,4,4,3,3,1,,3,,4,3,,,,,1,,,,,,,,
,,,,5,5,3,2,1,,4,3,4,2,,,,,,,,,,,,,
,,,,6,6,3,2,2,,2,3,2,5,,,,,,,,,,,,,
,,,,7,7,3,1,,,3,2,2,2,,,,,2,,,,,,,,
,,,,8,8,3,2,,,4,,3,,,,,,,2,,,,,,,
,,,,9,1,4,4,1,,3,1,4,4,,,,2,,,,,,,,,
,,,,10,2,4,4,,,3,,3,3,,,,,,,,,,,,,
,,,,11,3,4,4,,,4,,2,3,,,,,2,,,,,,,,
,,,,12,4,4,3,,,3,,3,3,,,,1,,2,,,,,,,
,,,,13,5,4,1,2,,3,,2,2,,,,1,2,1,,,,,,,
,,,,14,6,4,1,3,,3,2,3,4,,,,,,,,,,,,,
,,,,15,7,4,1,2,,3,,2,,,,,,3,2,,,,,,,
,,,,16,8,4,1,,,3,,2,,,,1,2,2,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriPlate,GalPar,ClaPur,NavPub,,,,,,,
MCL,5/21/2017,3,1,1,1,5,4,1,,3,,4,4,,,1,,,,,,,,,,
,,,,2,2,5,5,1,,3,1,4,2,,,,,,,,,,,,,
,,,,3,3,5,4,1,,3,2,2,3,,,,,,,,,,,,,
,,,,4,4,5,3,,,3,,3,,,,,1,,,,,,,,,
,,,,5,5,5,,1,,3,,2,,,,,2,,,,,,,,,
,,,,6,6,5,2,1,,1,,2,,,,,,3,,,,,,,,
,,,,7,7,5,2,1,,1,,1,,,,,2,2,,,,,,,,
,,,,8,8,5,2,,,1,,3,,,,3,1,2,,,,,,,,
,,,,9,1,6,4,3,,4,,3,3,,,,,,,,,,,,,
,,,,10,2,6,5,2,,2,,3,2,,,,,,,,,,,,,
,,,,11,3,6,5,1,,1,,3,2,,,,,,,,,,,,,
,,,,12,4,6,2,2,,3,,4,,,,,2,,,,,,,,,
,,,,13,5,6,,2,,3,,3,,,,,2,2,,,,,,,,
,,,,14,6,6,,1,,2,,2,,,,,,2,,,,,,,,
,,,,15,7,6,1,3,,2,,2,,,,,2,2,,,,,,,,
,,,,16,8,6,3,,,1,,3,,,,,2,1,1,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriPlate,ClaPur,GalPar,FilGal,TriHir,,,,,,
MCL,5/21/2017,3,1,1,1,7,3,,,3,,4,5,,,,,,,,,,,,,
,,,,2,2,7,3,,,4,,5,2,,,,,,,,,,,,,
,,,,3,3,7,4,,,3,3,5,,,,1,,,,,,,,,,
,,,,4,4,7,3,1,,4,,5,,,,2,1,,,,,,,,,
,,,,5,5,7,1,,,2,,3,,,,,,,,,,,,,,
,,,,6,6,7,,,,2,,3,,,,,2,1,,,,,,,,
,,,,7,7,7,,2,,2,,4,,,,,2,,,,,,,,,
,,,,8,8,7,1,,,2,,3,,,,,2,3,2,,,,,,,
,,,,9,1,8,2,2,,3,,5,3,,,,,,,,,,,,,
,,,,10,2,8,2,,,3,,4,5,,,,,,,,,,,,,
,,,,11,3,8,3,2,,3,,4,3,,,,,2,,,,,,,,
,,,,12,4,8,4,,,2,,4,2,,,,,,,,,,,,,
,,,,13,5,8,2,,,4,,4,1,,,,2,,,,,,,,,
,,,,14,6,8,,,,2,,3,1,,,,,,,,,,,,,
,,,,15,7,8,,,,,,3,1,,,,,,,2,,,,,,
,,,,16,8,8,,,,,,5,,,,,,2,2,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,FilGal,ClaPur,GalPar,NavPub,TriPlate,TriHir,TriRefLarge,LolMul,,,
MCL,5/21/2017,3,2,1,1,1,1,,,4,1,2,,,,1,1,2,,,,,,,,
,,,,2,2,1,3,,,4,2,1,,,,1,2,,2,,,,,,,
,,,,3,3,1,1,1,,5,,2,,,,2,2,1,,3,,,,,,
,,,,4,4,1,,2,,4,,2,,,,,1,,,5,,,,,,
,,,,5,5,1,1,3,,3,,,,,,,,,1,5,,,,,,
,,,,6,6,1,2,2,,4,,2,,,,2,2,1,,2,,,,,,
,,,,7,7,1,,,,4,,2,2,,,2,2,1,,3,2,,,,,
,,,,8,8,1,3,1,,3,,,,,,,1,2,,,,,,,,
,,,,9,1,2,1,,,3,,1,1,,,1,1,,,,,,,,,
,,,,10,2,2,2,1,,3,,1,,,,3,2,,,,,,,,,
,,,,11,3,2,3,,,4,,2,2,,,2,2,,,3,2,,,,,
,,,,12,4,2,2,2,,4,,2,,,,,2,,,4,,,,,,
,,,,13,5,2,2,2,,5,,,,,,1,,,,4,,,,,,
,,,,14,6,2,3,,,4,,2,,,,2,2,,,4,2,,,,,
,,,,15,7,2,3,,,3,,2,,2,2,1,,,,3,2,1,,,,
,,,,16,8,2,3,2,,3,,2,2,,,1,,,,2,2,2,2,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,FilGal,ClaPur,GalPar,TriPlate,UnkWhorl,NavPub,TriHir,TriRefLarge,LolMul,CarPac,
MCL,5/21/2017,3,2,1,1,3,2,2,,3,,2,,,,,2,1,,,,,,,,
,,,,2,2,3,2,,,4,,2,,,,2,1,1,,,,,,,,
,,,,3,3,3,2,,,4,,1,,,,2,1,2,2,,,,,,,
,,,,4,4,3,2,,,4,,2,,,,1,1,2,,2,,,,,,
,,,,5,5,3,,,,3,,,,,,2,1,,4,1,2,1,,,,
,,,,6,6,3,2,,1,3,,,,5,5,2,,,3,1,,,2,,,
,,,,7,7,3,4,2,1,3,,,,,,,1,,3,,,3,,,,
,,,,8,8,3,1,,,3,,2,,,,,2,1,3,,,3,,1,,
,,,,9,1,4,1,1,,3,,3,,,,,2,2,,,,,,,,
,,,,10,2,4,,1,,4,,3,,,,,2,2,,,,,,,,
,,,,11,3,4,2,,,3,,2,,,,,2,3,,,,,,,,
,,,,12,4,4,3,,,3,,2,,,,,2,1,,2,1,,,,,
,,,,13,5,4,4,,,4,,2,,,,1,2,,,1,2,2,,,,
,,,,14,6,4,3,,,4,,,,,,1,,1,3,1,1,1,1,,,
,,,,15,7,4,3,,,3,,1,,4,4,,1,,2,,,5,,,1,
,,,,16,8,4,2,,,4,,3,,,,,,,3,,,4,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,FilGal,GalPar,ClaPur,TriHir,TriPlate,SilGal,UnkWhorl,TriRefLarge,Lotus,,
MCL,5/21/2017,3,2,1,1,5,,,,2,,2,,,,,3,,,,,,,,,
,,,,2,2,5,2,,,2,,2,,,,2,3,3,,,,,,,,
,,,,3,3,5,2,,,3,,2,,,,,2,2,,,1,2,,,,
,,,,4,4,5,3,,,3,,3,,,,,1,2,,,,2,,,,
,,,,5,5,5,3,1,,4,,3,,,,,1,2,,,,,,,,
,,,,6,6,5,3,,,3,,2,,,,2,2,1,,4,,,2,,,
,,,,7,7,5,2,,,5,,4,,,,,,,4,,,,,,,
,,,,8,8,5,3,,,4,,3,,,,,2,2,4,,,,2,,,
,,,,9,1,6,2,,,,,2,2,,,,,2,,,,,,,,
,,,,10,2,6,2,,,2,,3,,,,,2,2,,,,,,,,
,,,,11,3,6,2,,,4,1,4,,,,,2,2,,,,,,,,
,,,,12,4,6,,1,,4,,4,,,,,2,1,,,,,3,,,
,,,,13,5,6,2,,,4,,3,,,,2,1,1,,,,,,2,,
,,,,14,6,6,2,,,4,,2,2,,,2,1,1,,,,,2,,,
,,,,15,7,6,2,,,5,,3,1,,,,,,4,,,,1,,,
,,,,16,8,6,2,,,4,,3,,,,,1,,5,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,GalPar,FilGal,NavPub,TriPlate,ClaPur,TriHir,LolMul,TriRefLarge,,,
MCL,5/21/2017,3,2,1,1,7,3,2,,3,,4,,,,1,1,,,,,,,,,
,,,,2,2,7,2,,,2,,4,,,,,1,1,1,1,,,,,,
,,,,3,3,7,2,1,,2,,5,,,,,1,,,,3,,,,,
,,,,4,4,7,,1,,4,,4,1,,,,2,,,1,,,,,,
,,,,5,5,7,1,,,4,2,3,,,,3,2,,,1,,,,,,
,,,,6,6,7,,,,5,,2,,,,2,,,1,,,,,,,
,,,,7,7,7,1,,,4,1,2,,,,2,,,,1,,,,,,
,,,,8,8,7,2,,,4,,3,,,,2,,,,,3,1,,,,
,,,,9,1,8,,,,,,5,,,,2,1,,,1,,,,,,
,,,,10,2,8,1,1,,2,,4,,,,3,,,,,,,2,,,
,,,,11,3,8,,,,2,,6,,,,2,,,,1,,,,,,
,,,,12,4,8,,,,2,2,5,,,,3,2,,,,,,,,,
,,,,13,5,8,2,,,3,3,3,,,,3,,,,1,,,,,,
,,,,14,6,8,,,,4,,3,,,,,1,,,,,,3,,,
,,,,15,7,8,1,,,4,,5,,,,2,,,,,,,,,,
,,,,16,8,8,1,,,4,,3,2,,,1,,,,,4,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,TaeCap,AirCar,BroHor,VulMyu,Bare,Gopher,TriHir,LolMul,,,,,,,,,,,
MCL,5/21/2017,4,1,1,1,1,3,4,4,1,,,,,,,,,,,,,,,,
,,,,2,2,1,4,3,4,1,,,,,,,,,,,,,,,,
,,,,3,3,1,6,2,2,,,,,,,,,,,,,,,,,
,,,,4,4,1,6,2,2,1,,,,,,,,,,,,,,,,
,,,,5,5,1,2,,2,3,1,,,,,,,,,,,,,,,
,,,,6,6,1,2,1,2,3,2,,,,,,,,,,,,,,,
,,,,7,7,1,2,1,2,3,2,3,3,1,,,,,,,,,,,,
,,,,8,8,1,3,4,2,2,1,,,,,,,,,,,,,,,
,,,,9,1,1,3,3,4,2,1,,,,,,,,,,,,,,,
,,,,10,2,2,3,3,4,2,,,,,,,,,,,,,,,,
,,,,11,3,2,4,2,3,2,,,,,,,,,,,,,,,,
,,,,12,4,2,5,3,3,1,,,,,,,,,,,,,,,,
,,,,13,5,2,4,3,4,2,1,,,,,,,,,,,,,,,
,,,,14,6,2,3,4,2,2,3,,,,,,,,,,,,,,,
,,,,15,7,2,2,3,2,3,1,2,2,,1,,,,,,,,,,,
,,,,16,8,2,2,3,4,3,2,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BroHor,LolMul,TaeCap,VulMyu,TriHir,Bare,Gopher,TriRefLarge,BriMin,TriPlate,,,,,,,,
MCL,5/21/2017,4,1,1,1,3,2,4,1,,2,,,,,,,,,,,,,,,
,,,,2,2,3,2,5,1,,2,,,,,,,,,,,,,,,
,,,,3,3,3,2,3,1,,6,1,,,,,,,,,,,,,,
,,,,4,4,3,3,5,1,,2,,,,,,,,,,,,,,,
,,,,5,5,3,2,3,2,,5,1,,,,,,,,,,,,,,
,,,,6,6,3,1,2,2,,5,,,,,,,,,,,,,,,
,,,,7,7,3,2,2,3,,3,4,,2,2,,,,,,,,,,,
,,,,8,8,3,2,2,3,,2,4,,,,2,3,,,,,,,,,
,,,,9,1,3,2,4,2,,1,3,,,,,,,,,,,,,,
,,,,10,2,4,2,4,1,,2,3,,,,,,,,,,,,,,
,,,,11,3,4,2,5,1,,3,2,,,,,,,,,,,,,,
,,,,12,4,4,2,5,1,,3,1,,,,,,,,,,,,,,
,,,,13,5,4,1,3,1,,6,,,,,,,,,,,,,,,
,,,,14,6,4,1,1,3,,3,5,,3,3,,1,1,,,,,,,,
,,,,15,7,4,1,2,4,1,5,2,,3,3,2,,1,,,,,,,,
,,,,16,8,4,1,1,3,,2,4,,,,,1,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,LolMul,TaeCap,VulMyu,TriHir,TriPlate,TriRefLarge,Bare,Gopher,CynEch,,,,,,,
MCL,5/21/2017,4,1,1,1,5,2,3,2,3,,2,4,,2,,,,,,,,,,,
,,,,2,2,5,,4,,,,2,3,,,,,,,,,,,,,
,,,,3,3,5,2,3,1,1,,2,3,,,,,,,,,,,,,
,,,,4,4,5,,3,,2,,4,2,,,,,,,,,,,,,
,,,,5,5,5,,3,,3,,4,2,,,,,,,,,,,,,
,,,,6,6,5,1,2,,3,,2,3,,,,,,,,,,,,,
,,,,7,7,5,1,2,,4,,3,3,,,,2,2,1,,,,,,,
,,,,8,8,5,,2,,4,,2,3,,,,4,4,,,,,,,,
,,,,9,1,5,,4,1,2,,2,3,,,,,,,,,,,,,
,,,,10,2,6,,3,,2,,2,5,,,,,,,,,,,,,
,,,,11,3,6,,5,,2,,2,3,,,,,,,,,,,,,
,,,,12,4,6,,4,,2,,3,3,,,,,,,,,,,,,
,,,,13,5,6,,4,,3,,3,2,,,,2,2,,,,,,,,
,,,,14,6,6,,4,,3,,3,2,,,,,,,,,,,,,
,,,,15,7,6,,,,4,2,2,5,,1,,2,2,,,,,,,,
,,,,16,8,6,1,2,,4,,3,5,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,LolMul,TaeCap,VulMyu,TriHir,TriPlate,TriRefLarge,Bare,Gopher,,,,,,,,
MCL,5/21/2017,4,1,1,1,7,,5,3,1,,2,2,,,,,,,,,,,,,
,,,,2,2,7,1,4,,2,,2,4,,,,,,,,,,,,,
,,,,3,3,7,,2,,3,,2,4,,,,,,,,,,,,,
,,,,4,4,7,,4,,2,,3,3,,,,,,,,,,,,,
,,,,5,5,7,,3,,3,,5,2,,,,,,,,,,,,,
,,,,6,6,7,,3,,2,,3,2,,,,3,3,,,,,,,,
,,,,7,7,7,3,4,,3,,3,3,,,,,,,,,,,,,
,,,,8,8,7,2,2,,3,,3,5,,,,,,,,,,,,,
,,,,9,1,7,,5,,,,2,1,,,,,,,,,,,,,
,,,,10,2,8,,4,,2,,2,2,,,,,,,,,,,,,
,,,,11,3,8,2,3,,3,,2,3,,,,,,,,,,,,,
,,,,12,4,8,,4,,2,,2,3,,,,,,,,,,,,,
,,,,13,5,8,,3,,1,,4,3,,,,,,,,,,,,,
,,,,14,6,8,,3,,1,,6,1,,,,,,,,,,,,,
,,,,15,7,8,,3,,2,,6,2,,,,,,,,,,,,,
,,,,16,8,8,,1,,3,,4,6,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,LolMul,TaeCap,TriHir,TriRefLarge,TriPlate,Bare,Gopher,Rock,CynEch,VulMyu,,,,,,
MCL,5/21/2017,4,2,1,1,5,,3,,4,,3,,,,3,2,2,3,3,,,,,,
,,,,2,2,5,,4,,3,,3,,,,4,4,,2,2,,,,,,
,,,,3,3,5,1,4,,3,,3,,,,,,,,4,,,,,,
,,,,4,4,5,3,2,,2,,2,,,,,,,,6,,,,,,
,,,,5,5,5,1,1,,3,,3,,,,,,,,5,,,,,,
,,,,6,6,5,,3,,2,,4,,,,,,,,4,,,,,,
,,,,7,7,5,,4,,1,,3,,,,,,,,3,,,,,,
,,,,8,8,5,1,4,,2,,4,,,,,,,,3,,,,,,
,,,,9,1,5,,3,,4,,4,,,,,,,2,2,,,,,,
,,,,10,2,6,,3,,3,,3,,,,4,4,,2,4,,,,,,
,,,,11,3,6,,3,,3,,4,,,,,,,,5,,,,,,
,,,,12,4,6,,2,,3,,4,,,,,,,,4,,,,,,
,,,,13,5,6,,2,,2,,4,,,,,,,,5,,,,,,
,,,,14,6,6,,4,,2,,5,,,,,,,,2,,,,,,
,,,,15,7,6,,4,,0,,5,,,,,,,,3,,,,,,
,,,,16,8,6,,5,,1,,3,,,,,,,,3,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,LolMul,TaeCap,TriHir,TriRefLarge,TriPlate,Bare,Gopher,VulMyu,CynEch,Rock,,,,,,
MCL,5/21/2017,4,2,1,1,7,1,3,,4,2,,,,,,,6,2,,,,,,,
,,,,2,2,7,,2,,4,2,,,,,4,4,5,,,,,,,,
,,,,3,3,7,,3,,4,3,,,,,4,4,4,,,,,,,,
,,,,4,4,7,,4,,3,4,,,,,,,6,,,,,,,,
,,,,5,5,7,,4,,3,4,,,,,,,3,,,,,,,,
,,,,6,6,7,,4,,,4,,,,,,,2,,,,,,,,
,,,,7,7,7,,5,,,5,,,,,,,,,,,,,,,
,,,,8,8,7,,5,,,5,,,,,,,,,,,,,,,
,,,,9,1,7,,3,,3,2,,,,,,,6,,,,,,,,
,,,,10,2,8,2,4,,3,2,,,,,,,5,,,,,,,,
,,,,11,3,8,,3,,3,2,,,,,,,5,,,,,,,,
,,,,12,4,8,,5,,3,3,,,,,,,3,,,,,,,,
,,,,13,5,8,,3,,3,3,,,,,3,3,2,,2,,,,,,
,,,,14,6,8,,4,,,4,,,,,,,,,,,,,,,
,,,,15,7,8,,5,,,4,,,,,,,,,,,,,,,
,,,,16,8,8,,5,,,4,,,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,BriMin,AirCar,BroHor,LolMul,TaeCap,TriHir,TriRefLarge,TriPlate,Bare,Gopher,CynEch,VulMyu,,,,,,,
MCL,5/21/2017,4,2,1,1,1,2,,4,3,,4,,,,,,3,1,,,,,,,
,,,,2,2,1,2,,5,2,,3,,,,,,,2,,,,,,,
,,,,3,3,1,2,,4,2,,2,,,,,,,3,,,,,,,
,,,,4,4,1,2,,4,2,,3,,,,3,3,3,3,,,,,,,
,,,,5,5,1,2,,4,2,,3,,,,,,,1,,,,,,,
,,,,6,6,1,2,,3,3,,3,,,,,,,2,,,,,,,
,,,,7,7,1,2,,3,3,,4,,,,,,,4,,,,,,,
,,,,8,8,1,2,,4,2,,3,,,,,,,2,,,,,,,
,,,,9,1,2,2,,3,3,,3,,,,,,2,2,,,,,,,
,,,,10,2,2,1,,4,3,,3,,,,,,2,2,,,,,,,
,,,,11,3,2,2,,4,2,,3,,,,,,,4,,,,,,,
,,,,12,4,2,2,,3,2,,2,,,,,,,4,,,,,,,
,,,,13,5,2,1,,2,3,,3,,,,,,,4,,,,,,,
,,,,14,6,2,2,,3,2,,2,,,,,,,3,,,,,,,
,,,,15,7,2,1,,3,2,,3,,,,,,,6,,,,,,,
,,,,16,8,2,2,,3,,,4,,,,,,,6,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,LolMul,TaeCap,TriHir,TriRefLarge,TriPlate,Bare,Gopher,VulMyu,CynEch,BroDia,,,,,,
MCL,5/21/2017,4,2,1,1,3,3,5,,1,,2,,,,,,,,,,,,,,
,,,,2,2,3,3,4,,3,,3,,,,,,3,1,,,,,,,
,,,,3,3,3,2,3,,3,,2,,,,,,2,1,1,,,,,,
,,,,4,4,3,2,3,2,2,,2,,,,,,3,,,,,,,,
,,,,5,5,3,3,3,2,1,,2,,,,,,2,1,,,,,,,
,,,,6,6,3,3,4,,2,,4,,,,,,,,,,,,,,
,,,,7,7,3,2,4,,2,,4,,,,,,,,,,,,,,
,,,,8,8,3,2,4,,2,,3,,,,,,,,,,,,,,
,,,,9,1,4,3,4,,2,,2,,,,,,,2,,,,,,,
,,,,10,2,4,3,5,,2,,2,,,,2,2,3,1,,,,,,,
,,,,11,3,4,3,4,,3,,3,,,,,,3,,,,,,,,
,,,,12,4,4,2,5,,2,,2,,,,,,2,,,,,,,,
,,,,13,5,4,2,4,,2,,4,,,,,,2,,,,,,,,
,,,,14,6,4,2,3,,2,,4,,,,,,2,,,,,,,,
,,,,15,7,4,3,4,,2,,5,,,,,,0,,,,,,,,
,,,,16,8,4,3,4,,3,,3,,,,,,2,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,TriEri,Trifolium,Rock,GerDis,Bare,TriFuc,Collinsia Pink Rosette,,,,,,,,,,,
MCL,4/24/2017,1,1,1,1,1,3,2,2,3,1,,1,,,,,,,,,,,,,
,,,,2,2,1,2,1,,4,,1,,,,,,,,,,,,,,
,,,,3,3,1,2,,,5,,2,,,,,,,,,,,,,,
,,,,4,4,1,3,,,4,,2,,,,,,,,,,,,,,
,,,,5,5,1,2,,,5,,2,3,,,,,,,,,,,,,
,,,,6,6,1,3,1,2,3,,,,,,,,,,,,,,,,
,,,,7,7,1,2,1,,3,,,2,1,,,,,,,,,,,,
,,,,8,8,1,3,1,,3,,,,,,,,,,,,,,,,
,,,,9,1,2,2,1,,5,,,,,,,,,,,,,,,,
,,,,10,2,2,2,2,,3,,,2,,,,,,,,,,,,,
,,,,11,3,2,2,2,,4,,2,,,,,,,,,,,,,,
,,,,12,4,2,2,,,3,,,3,,,,,,,,,,,,,
,,,,13,5,2,2,,,4,,2,,,2,,,,,,,,,,,
,,,,14,6,2,2,1,2,3,,,,,,,,,,,,,,,,
,,,,15,7,2,2,1,1,3,,,3,,,,,,,,,,,,,
,,,,16,8,2,3,1,1,,,,2,,,,,,,,,,,,,
Site,Date,Block,Plot,Subplot,X,Y,Erodium,Lupinus,TriEri,GerDis,Bare,Rock,TriEri,Gopher,,,,,,,,,,,,
MCL,4/24/2017,1,1,1,1,3,2,,5,2,,,,,,,,,,,,,,,,
